 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 20 824 5 1 ZTF_g 450456231715 0 3.3597 86.1205 6.09796 26.2756 1.29439e-05 0.0349183 -0.128465 2.43859e-05 649 30. 0.058009 0.061326 20.0653 26.2756 2 2458204.9562384 824120117 -17.3340510073081 33.6765765302509 -0.572567819568854 0.969786506851163 -7.40140558876868 50.2434031101599 -0.148303140711053 1.0548475914326 null null null null null 2458203.893137 2458231.971505 57
 21 824 5 1 ZTF_g 451385321715 0 2.8987 64.3477 13.0457 25.9147 2.80401e-05 0.038263 -0.0949128 7.08499e-05 404 30. 0.059674 0.060992 18.9952 25.9147 2 2458205.8853241 824120117 -13.3303499896583 66.1071953929182 -0.224309475857877 0.966714394096823 22.7660168940418 101.79837320778 0.225144534293131 1.05856250476412 null null null null null 2458203.893137 2458231.971505 57
 22 824 5 1 ZTF_g 451413071715 0 3.6667 60.3611 12.3755 25.8441 5.34941e-05 0.0451904 -0.0642074 0.000144874 324 30. 0.089702 0.077844 18.7789 25.8441 2 2458205.9130787 824120117 73.9281133056769 80.2536897895551 1.02470632062502 0.931556636085165 132.554732113019 106.597349329509 1.25188381042964 1.113696384276 null null null null null 2458203.893137 2458231.971505 57
 23 824 5 1 ZTF_g 451436311715 0 3.0435 78.8021 10.7795 26.1259 2.34825e-05 0.0407648 -0.0721134 5.4397e-05 519 30. 0.066581 0.057154 19.3694 26.1259 2 2458205.9363194 824120117 -10.4783629796785 57.527412891338 -0.202615840895523 1.0135634803445 46.06632771391 85.4356373005828 0.542824850926333 1.07019267929608 null null null null null 2458203.893137 2458231.971505 57
 24 824 5 1 ZTF_g 451455431715 0 2.6035 85.9666 9.32307 26.2286 1.34778e-05 0.0356349 -0.0894917 2.60691e-05 631 30. 0.061575 0.054832 19.8056 26.2286 2 2458205.9554398 824120117 -30.1905875485921 44.8769472614271 -0.748347064851041 0.976254862757261 12.4454224284495 73.7122636350704 0.169975014287721 1.05334847027064 null null null null null 2458203.893137 2458231.971505 57
 25 824 5 1 ZTF_g 451479581715 0 2.5875 86.9272 8.01047 26.2337 1.30599e-05 0.035553 -0.0762281 2.41286e-05 653 30. 0.05381 0.054316 19.9982 26.2337 2 2458205.9795833 824120117 12.068803204022 37.8022519221165 0.355141426464253 0.933761127992716 88.1737922455006 61.8414693385728 1.4354065121473 1.06253480503585 null null null null null 2458203.893137 2458231.971505 57
 26 824 5 1 ZTF_g 452347891715 0 2.4761 86.4996 12.5973 26.2338 1.72041e-05 0.0381472 -0.0982284 3.55906e-05 585 30. 0.053009 0.053904 19.4777 26.2338 2 2458206.8478935 824120117 10.0163958423442 54.3849926024645 0.204874169735597 0.999455288026143 75.7728055727388 95.0953095905975 0.802175628916562 1.03663082637842 null null null null null 2458203.893137 2458231.971505 57
 27 824 5 1 ZTF_g 452359901715 0 2.1914 86.9287 12.4796 26.251 1.27123e-05 0.0340852 -0.110539 2.47829e-05 617 30. 0.047079 0.046729 19.6245 26.251 2 2458206.8599074 824120117 -0.291739600251279 51.7819017823682 -0.00626718028472997 0.913361001350818 82.7862920491709 97.2746828056678 0.856788838424952 1.03266000427419 null null null null null 2458203.893137 2458231.971505 57
 28 824 5 1 ZTF_g 452389431715 0 2.1709 88.6872 11.8159 26.2644 1.30209e-05 0.034759 -0.0946485 2.51211e-05 626 30. 0.04768 0.04736 19.6963 26.2644 2 2458206.8894329 824120117 57.1273466506789 46.2841711070374 1.3729868060643 1.04470137153572 -16.2105480129657 85.4246968137866 -0.191042258213453 1.03705810176745 null null null null null 2458203.893137 2458231.971505 57
 29 824 5 1 ZTF_g 452390341715 0 2.1422 88.4097 11.8096 26.2684 1.37121e-05 0.035829 -0.0884494 2.6174e-05 635 30. 0.047442 0.046762 19.7117 26.2684 1 2458206.8903472 824120117 25.7990915923979 50.6156180519267 0.566989049420813 0.933098478548427 125.774484040684 95.0780848661633 1.33176412424967 1.03428154613306 null null null null null 2458203.893137 2458231.971505 57
