reqId,ra,dec,startJD,endJD,created,started,ended,machine,exitcode,lightcurve
1745098,138.7534838,22.589562,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:04:54,2024-06-07 14:26:15,11,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745098_lc.txt
1745099,45.879973,27.6821988,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:05:43,2024-06-07 14:18:34,8,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745099_lc.txt
1745100,16.8877866,32.4082286,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-06 19:00:03,2024-06-06 19:30:08,10,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745100_lc.txt
1745101,39.595142,-11.7389248,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:06:05,2024-06-07 14:11:12,6,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745101_lc.txt
1745102,70.7292064,0.6183745,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:07:23,2024-06-07 14:26:29,13,56,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745102_lc.txt
1745103,215.1956051,-19.7861316,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:07:35,2024-06-07 14:17:31,9,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745103_lc.txt
1745104,15.9512944,10.5923517,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:08:01,2024-06-07 14:20:03,12,56,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745104_lc.txt
1745105,240.6664109,15.762149,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:08:03,2024-06-07 14:25:02,7,56,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745105_lc.txt
1745106,320.9141591,39.5809029,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:08:49,2024-06-07 14:54:26,5,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745106_lc.txt
1745107,246.3020427,40.8402535,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:09:47,2024-06-07 14:46:18,10,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745107_lc.txt
