# Created by M.D. Woods -- 2024-11-25 15:24:23.990411 -- HUBBLE RESID STD: 0.20298331548868975
# {'z': 0.015, 'EBVhost': (0.1, 999), 'EBVhost_err': 0.1, 'st': (-999, 1.0), 'st_err': 0.1, 'Tmax_err': 1, 'mu_err': 0.2}
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, chisquare, chisquare_err, hostMass, hostMass_err
2008ar, 186.158, 10.838167, 0.0261, 0.02586206495019581, 54527.79, 54627.59, CSP, 35.25394618729897, 0.014370263368117295, 0.9741234986367673, 0.0067640296180586255, 54535.12649853455, 0.05997291319948359, 0.10984280052009385, 0.006367333253607417, 285.0334828141023, 3.314342823419794, 10.102752183811647, 0.001262498820507511
2007mm, 16.444458, -0.758833, 0.0664, 0.06456278748171412, 54385.72, 54418.69, CSP, 37.224920691987656, 0.050136338579719955, 0.5419074101794171, 0.02367155596143317, 54392.7557329188, 0.2404190926675667, 0.29972392951416954, 0.04088457827149789, 306.34917031738917, 8.75283343763969, 9.37688091226328, 0.007453549893324646
2008C, 104.298042, 20.437139, 0.0166, 0.016903903224004785, 54469.81, 54552.5, CSP, 34.23401686763807, 0.021949120698067825, 0.9368730628307114, 0.014188271084050852, 54466.85847668909, 0.36414650392888276, 0.26426886573678765, 0.011642814989678552, 464.62542372435814, 6.113492417425765, 10.028240434860418, 0.0010325410340992131
2006br, 202.5075, 13.415778, 0.0246, 0.024651796792500034, 53855.66, 53891.66, CSP, 35.570325583204244, 0.02653910734515054, 0.9136416017675548, 0.019290786112053766, 53850.647954541746, 0.4177899771436754, 0.9259971138568582, 0.02476217812133846, 134.86128799546927, 3.457981743473571, 11.11960854686434, 0.006792568669265763
2004ef, 340.54175, 19.994556, 0.031, 0.02954612859608288, 53255.69, 53329.57, CSP, 35.51296988318906, 0.0071845718672444315, 0.8157717876468175, 0.003308898725923352, 53264.914966865974, 0.028384317020804583, 0.16538228903548247, 0.004128903494912308, 1190.1574259554968, 5.337028815943932, 11.171477203958151, 0.0011960801888627102
2006os, 43.754583, 16.009667, 0.0328, 0.031377006641074116, 54063.65, 54133.56, CSP, 35.64565457291808, 0.02131093732622752, 0.9088752502732351, 0.013290632313013534, 54065.53154393907, 0.28947273331669787, 0.4587397699055456, 0.011663591663543294, 374.51464500629515, 5.9446769048618275, 10.76654740701287, 0.001213976022382484
2006bt, 239.127208, 20.045917, 0.0322, 0.03392523726373172, 53853.76, 53891.71, CSP, 35.42439192241813, 0.053696566264602924, 0.9394168793363862, 0.03433894879122031, 53859.40483083819, 0.3597848298753895, 0.30346675253736244, 0.02710510111627137, 2886.476972382267, 60.13493692463056, 10.885766269512045, 0.0007686279394534686
2006hx, 18.488792, 0.371667, 0.0455, 0.043686906535194706, 54012.66, 54080.59, CSP, 36.17612841351111, 0.04892809365268042, 0.9536840922626137, 0.021002335570936084, 54022.487467316634, 0.15542894702460933, 0.24532659764997325, 0.025466237727253222, 362.4353062413886, 8.83988551808265, 10.307434104151445, 0.0019476582498743804
2008O, 104.393583, -45.812306, 0.0389, 0.03982266988336256, 54489.71, 54571.48, CSP, 36.035683375325256, 0.023243102584996938, 0.6611750484425287, 0.01520340074663416, 54492.28180373201, 0.15360384756821158, 0.30838254924085057, 0.01851014113954568, 319.31664254227934, 5.068518135591735, 11.476554549097061, 0.12607025065414917
2006py, 340.425208, -0.136917, 0.0579, 0.056012583196732316, 54069.54, 54091.54, CSP, 36.816567144360675, 0.025104233536154007, 0.9440445481120955, 0.025768789598416407, 54071.48454718148, 0.28566718176476613, 0.12746547174939973, 0.014227180174331805, 101.09905256906318, 3.6106804488951134, 9.823198012980697, 0.0067542707073111165
2007jg, 52.46175, 0.056833, 0.0371, 0.035639792744478135, 54363.82, 54425.78, CSP, 36.22118055076528, 0.015478674078221743, 0.9298690922890316, 0.009047565919187466, 54366.7389995064, 0.11971101687536123, 0.11983295977130712, 0.007778570374321257, 337.99689238657544, 4.333293492135582, 8.983217199440995, 0.01518488169616929
2004gc, 80.458125, 6.676028, 0.0321, 0.031225952035492954, 53329.83, 53397.66, CSP, 35.3631875207796, 0.0192628563620047, 0.917117378481237, 0.010073183055975862, 53325.66909166213, 0.32797977629157404, 0.24027267183413872, 0.010527401519002975, 1129.2372515042753, 8.686440396186732, 12.062701043577428, 0.013400455258840153
2007bc, 169.810708, 20.809028, 0.0208, 0.022560118838024914, 54196.65, 54259.53, CSP, 34.73878735692071, 0.014571086016578099, 0.8731973963674282, 0.007597490334692021, 54200.818723118005, 0.0967842015928593, 0.11485731574467509, 0.006822805268518984, 329.46984912165163, 4.991967410934116, 9.927081146965973, 0.000229581880906585
