#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
02a59698o0345c,170.4280907,34.3583146,>19.690719181292724,0.0,2.04,c,21.769,59698.40743145,5861.22,9157.22,194.0,181.0,15.7,7.7,180.4,-338.9,439.8,1.15,2.62,2.32,1.0,3.0,-0.4007,32.752742731997564,16.063447072380978,19.18,30.0
02a59698o0395c,170.4280907,34.3583146,>19.773679546944408,0.0,1.02,c,21.886,59698.43109405,5881.04,9042.63,179.0,180.5,8.3,8.1,179.4,408.3,492.9,0.92,2.6,2.31,1.0,3.0,-0.3977,15.318708975167084,14.949583457693175,19.29,30.0
01a59699o0312o,170.4280907,34.3583146,>18.33,0.0,3.0,o,20.35,59699.36645545,1213.62,9964.1,204.0,183.5,5.9,9.6,182.3,-792.5,691.4,1.13,2.74,2.45,1.0,3.0,-0.4997,55.0208637739526,89.52547325931269,17.43,30.0
01a59699o0339o,170.4280907,34.3583146,>18.86,0.0,3.0,o,20.67,59699.37913285,1237.22,10004.6,178.0,184.1,-10.6,7.9,184.9,-1107.3,553.0,1.44,2.74,2.45,1.0,3.0,-0.4987,-73.54975962897454,54.815386893292356,17.75,30.0
01a59699o0377o,170.4280907,34.3583146,>18.66,0.0,3.0,o,20.626,59699.39690325,1179.62,9928.62,161.0,183.5,1.8,9.4,180.7,-1302.5,607.3,1.03,2.64,2.47,1.0,3.0,-0.4867,12.494881178615756,65.25104615499339,17.76,30.0
01a59699o0390o,170.4280907,34.3583146,>18.44,0.0,3.0,o,20.474,59699.40326525,1162.88,10046.6,182.0,181.7,5.4,9.9,180.6,-1298.5,649.8,1.04,2.67,2.47,1.0,3.0,-0.4937,43.88950873598747,80.46409934931035,17.58,30.0
02a59705o0117o,170.4280907,34.3583146,>20.16,0.0,3.0,o,22.026,59705.29203295,5840.65,9128.52,166.0,180.6,-9.4,12.6,180.0,-1813.6,695.6,1.16,2.29,1.94,1.0,3.0,-0.4337,-11.660678223318534,15.630270809980162,19.35,30.0
02a59705o0126o,170.4280907,34.3583146,>19.87,0.0,3.0,o,21.717,59705.29614425,5821.59,9086.16,194.0,180.2,-1.6,12.1,178.4,-1160.8,603.0,0.86,2.32,1.96,1.0,3.0,-0.4287,-2.6879598920930405,20.32769668395362,18.93,30.0
02a59705o0142o,170.4280907,34.3583146,>20.28,0.0,3.0,o,22.038,59705.30348455,5877.3,9167.98,176.0,177.3,5.0,11.1,173.0,-3096.6,697.7,0.79,2.3,1.98,1.0,3.0,-0.4337,6.28813382566558,13.959657092977585,19.37,30.0
02a59705o0175o,170.4280907,34.3583146,>20.29,0.0,3.0,o,22.087,59705.31923625,5896.96,9049.58,169.0,180.4,6.1,11.1,178.9,-67.3,571.5,0.73,2.35,2.0,1.0,3.0,-0.4297,7.540262030383066,13.720804678238041,19.44,30.0
01a59708o0088o,170.4280907,34.3583146,>19.98,0.0,3.0,o,22.198,59708.27115905,8681.52,1623.01,148.0,184.0,-5.5,11.5,181.4,-1564.0,855.4,1.14,2.66,2.53,1.0,3.0,-0.4947,-9.330901235334842,19.51006621933649,18.99,30.0
01a59708o0096o,170.4280907,34.3583146,>19.93,0.0,3.0,o,22.199,59708.27490205,8701.86,1660.22,181.0,182.2,-13.9,12.0,180.9,-107.2,753.6,1.5,2.65,2.54,1.0,3.0,-0.4977,-23.629424046815245,20.399502774228985,18.99,30.0
01a59708o0164o,170.4280907,34.3583146,>19.91,0.0,3.0,o,22.197,59708.30744105,8649.73,1587.49,224.0,180.7,8.9,11.8,178.5,-2680.3,969.4,1.21,2.72,2.56,1.0,3.0,-0.4867,15.522355344479053,20.58020146796099,18.95,30.0
