# Created by M.D. Woods -- 2024-12-16 10:59:06.672958 -- HUBBLE RESID STD: 0.15386591113547454
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 3.2), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': 0.1357883809058704 +/- 0.003029208660312389
# Avg. 'x1': -0.4341674752261811 +/- 0.03491554498789551
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err, peak_mag, peak_mag_err, cov00, cov01, cov02, cov03, cov10, cov11, cov12, cov13, cov20, cov21, cov22, cov23, cov30, cov31, cov32, cov33
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, CSP, 53730.68518790677, 0.07945568033392192, 0.002487173202549189, 1.9662067529208068e-05, -2.1831003016274186, 0.015927466708968385, 0.2777652484582651, 0.00331899566046242, 35.343980138798706, 0.013320410168053454, 13.004227849812548, 0.0005277710097430307, nan, nan, 0.006313209775517393, -1.410530860131457e-06, -6.264905561615528e-05, 0.00015932617063504177, -1.410530860131457e-06, 3.8659689952313827e-10, -5.552998176302572e-08, -5.4082840141510324e-08, -6.264905561615528e-05, -5.552998176302572e-08, 0.00025368525595885434, 7.736411865876884e-06, 0.00015932617063504177, -5.4082840141510324e-08, 7.736411865876884e-06, 1.1015732194168376e-05
2008go, 332.686792, -20.788111, 0.0623, 0.06071935029069365, 54764.54, 54776.58, CSP, 54766.19580998218, 0.08536905344953993, 0.0009161306953958167, 2.829289934483123e-06, -0.2865160143826073, 0.10725961326286754, 0.08991676557928377, 0.0032584862430932887, 37.27831750180099, 0.019360904889912534, 10.908950503065558, 0.0017321529641886853, 18.461103448275864, 0.028586206896551718, 0.007287885709809957, -4.174781541483506e-08, -0.00595982447219779, -2.7939198925929854e-05, -4.174781541483506e-08, 8.004881533367513e-12, -9.741880306394611e-08, -6.6486085636422405e-09, -0.00595982447219779, -9.741880306394611e-08, 0.011506395639185884, 0.00013361839190970465, -2.7939198925929854e-05, -6.6486085636422405e-09, 0.00013361839190970465, 1.0617732596428213e-05
2008cf, 211.885667, -26.551833, 0.046, 0.04668465270812782, 54595.77, 54654.65, CSP, 54595.537688011595, 0.07157676591305062, 0.002131653451891151, 5.600726101665366e-06, 1.1046425142103822, 0.02562478496015208, -0.011940929058657858, 0.002120122823864176, 36.877802768823344, 0.007964011709222795, 8.754352914249603, 0.009911439712941946, 17.799206896551723, 0.03589655172413793, 0.005123235518137477, -2.5555919900218365e-07, -0.001222403631870928, 5.345262211043577e-05, -2.5555919900218365e-07, 3.1368132865875726e-11, 2.8279927245324325e-08, -8.634595758131144e-09, -0.001222403631870928, 2.8279927245324325e-08, 0.0006566356481711884, -1.2325492527565239e-05, 5.345262211043577e-05, -8.634595758131144e-09, -1.2325492527565239e-05, 4.494920788269808e-06
2006kf, 55.460333, 8.156944, 0.0213, 0.02090716743106265, 54036.81, 54127.64, CSP, 54041.56963337621, 0.020113201269850833, 0.003140985145213509, 7.040419951394734e-06, -2.178588564444184, 0.013911577340777859, 0.24449066990957027, 0.0018475066543965238, 35.190429047116716, 0.006384693510751022, 10.847440404300489, 0.0005624670042569112, 16.769125, 0.02792857142857143, 0.0004045408744756671, 3.717957486233658e-08, -0.00013706877895401713, -1.1040257477535562e-05, 3.717957486233658e-08, 4.956751309199703e-11, -5.076447954579341e-08, -1.0885571808502831e-08, -0.00013706877895401713, -5.076447954579341e-08, 0.00019353260053447838, 8.517449855065767e-06, -1.1040257477535562e-05, -1.0885571808502831e-08, 8.517449855065767e-06, 3.4132808380394367e-06
2008hu, 122.3115, -18.653639, 0.0497, 0.050623552738642955, 54804.74, 54844.84, CSP, 54806.52587914869, 0.06575811278526089, 0.0009050329351652091, 4.022441495756764e-06, -1.7416648993482342, 0.028832569192155377, 0.09448831641309158, 0.0032928777163547117, 37.055289127596566, 0.011791399589664067, 10.107881298730984, 0.007118355222168162, 18.38605882352941, 0.019529411764705882, 0.004324131408311295, -1.321379046800279e-07, -0.0013008899743988027, 2.622131149757915e-05, -1.321379046800279e-07, 1.618003558678591e-11, -1.8016072460983887e-09, -1.0110266533420193e-08, -0.0013008899743988027, -1.8016072460983887e-09, 0.0008313275333823608, 1.4601699268691267e-05, 2.622131149757915e-05, -1.0110266533420193e-08, 1.4601699268691267e-05, 1.084304365486542e-05
2006ob, 27.950458, 0.263417, 0.0592, 0.057498350544748326, 54060.65, 54121.57, CSP, 54063.73820131073, 0.08433942014744389, 0.0007858744703539911, 3.8854765420330285e-06, -2.1061318283493313, 0.047427731252843275, 0.06636868331850755, 0.004799550999741815, 37.236600202317625, 0.016912655466655966, 11.3688972447224, 0.0010849287166291976, 18.57029411764706, 0.03452941176470588, 0.007113141598858456, -1.2898669104797931e-08, -0.002323776683980803, -5.5754020096293e-05, -1.2898669104797931e-08, 1.5096927958688938e-11, -5.672674658421221e-08, -1.328181799929485e-08, -0.002323776683980803, -5.672674658421221e-08, 0.002249471712115823, 4.201633284526998e-05, -5.5754020096293e-05, -1.328181799929485e-08, 4.201633284526998e-05, 2.3035689799122657e-05
2005na, 105.402583, 14.13325, 0.0263, 0.026774414686061662, 53738.71, 53834.54, CSP, 53741.41572909347, 0.03427427385759074, 0.005266116884906844, 9.924136283778476e-06, -0.31625435511900113, 0.016539203495372357, 0.0645148211549741, 0.0015156859827520851, 35.45063268080756, 0.005566948757439965, 10.902842205220578, 0.000773697241361911, 16.400875, 0.009083333333333334, 0.001174725923421854, -8.105044934321033e-08, -0.0004068941493656663, -1.3420148807302364e-06, -8.105044934321033e-08, 9.848848097900844e-11, -3.956244378503381e-08, -1.1396704485862507e-08, -0.0004068941493656663, -3.956244378503381e-08, 0.0002735462539680796, 6.064031961723698e-06, -1.3420148807302364e-06, -1.1396704485862507e-08, 6.064031961723698e-06, 2.297303998311154e-06
2005bg, 184.321583, 16.371556, 0.0231, 0.02433405884990326, 53471.65, 53512.61, CSP, 53469.75534339267, 0.05869353608795791, 0.006872622505555274, 1.755479340486665e-05, 0.7976471455114731, 0.02974209928082061, 0.04979246975343311, 0.001774886459576292, 35.375852228521595, 0.007508253711838855, 9.797047393282007, 0.0010007345933335352, 16.197849999999995, 0.008450000000000001, 0.0034449324466880723, -6.886561160070099e-07, -0.0013121733969219552, -3.3976772712008386e-06, -6.886561160070099e-07, 3.081707714875496e-10, 8.345659721808372e-08, -1.7308587562520298e-08, -0.0013121733969219552, 8.345659721808372e-08, 0.0008846031756818706, 1.7455498886312542e-05, -3.3976772712008386e-06, -1.7308587562520298e-08, 1.7455498886312542e-05, 3.1502219443872642e-06
2004gu, 191.603, 11.948917, 0.0459, 0.04686413423840836, 53357.86, 53410.84, CSP, 53363.08398016323, 0.04638219120170106, 0.0016622264780088488, 4.840391556834585e-06, 1.4403540874047394, 0.02491100364295562, 0.1337255080310579, 0.00219355523708168, 36.76514667141134, 0.008200755889975273, 10.169178254050212, 0.004755317603574504, 17.662809523809525, 0.02004761904761905, 0.0021513080509591984, -5.8325395985714116e-08, -0.0006618146827027299, 1.4970998553734071e-05, -5.8325395985714116e-08, 2.342939042347553e-11, -4.1940521266967514e-08, -8.65472692145605e-09, -0.0006618146827027299, -4.1940521266967514e-08, 0.0006205637017946362, 9.096606375748891e-06, 1.4970998553734071e-05, -8.65472692145605e-09, 9.096606375748891e-06, 4.811684578128465e-06
2007jd, 44.972375, 1.160722, 0.0726, 0.0717710864312675, 54362.83, 54409.83, CSP, 54362.03881062486, 0.23482054331543623, 0.0003686624413269517, 3.158912417170567e-06, -0.7927233602020672, 0.09090299463638096, 0.1863549187630104, 0.00628195765448917, 37.90180343119706, 0.02510844097633304, 10.066482342060203, 0.004639021074210903, 19.28278571428572, 0.03850000000000001, 0.05514096457348733, -5.616465204183958e-07, -0.01796508260307016, 0.0006015828092143997, -5.616465204183958e-07, 9.978727659354395e-12, 1.3571025874323104e-07, -1.4564525226244961e-08, -0.01796508260307016, 1.3571025874323104e-07, 0.00826428851842168, -0.00013673422230323234, 0.0006015828092143997, -1.4564525226244961e-08, -0.00013673422230323234, 3.946299197279507e-05
2007hx, 31.612833, -0.899528, 0.0794, 0.07815815296284123, 54354.78, 54411.73, CSP, 54354.7747996948, 0.1920666701371374, 0.0003112083956123925, 2.0506652128775513e-06, 0.4554886952657411, 0.09787797926929243, 0.2015440715218808, 0.0059821257151139945, 38.231460175644976, 0.024356460303387954, 10.947106485783687, 0.006470108825979771, 19.395214285714285, 0.04214285714285715, 0.03688971279870797, -1.664214094964456e-07, -0.013551437609352061, 0.00012529567460364485, -1.664214094964456e-07, 4.205227815306132e-12, 1.042944962118198e-09, -8.318343094146742e-09, -0.013551437609352061, 1.042944962118198e-09, 0.009581333031092279, 1.6694070312800466e-05, 0.00012529567460364485, -8.318343094146742e-09, 1.6694070312800466e-05, 3.578582807142812e-05
2005hj, 21.701125, -1.238, 0.0574, 0.05548572073168324, 53671.67, 53761.57, CSP, 53674.99081481962, 0.08233689120970666, 0.0012026221489465105, 3.817956357575495e-06, 1.5375348016162937, 0.04913478099563606, 0.07405719971852111, 0.003104078471065924, 37.30922937429491, 0.012408100429063415, 9.52474382794979, 0.008544462310874676, 18.10496875, 0.05078125, 0.0067793661850546975, -2.2919335831244133e-08, -0.0023971070357440677, -1.6596276214993882e-05, -2.2919335831244133e-08, 1.4576790748351142e-11, -7.171601073124111e-08, -7.645826585383148e-09, -0.0023971070357440677, -7.171601073124111e-08, 0.0024143125376404713, 2.6991960140263874e-05, -1.6596276214993882e-05, -7.645826585383148e-09, 2.6991960140263874e-05, 9.635303154534963e-06
2005ir, 19.182333, 0.794556, 0.0763, 0.07483568715065346, 53682.62, 53740.53, CSP, 53685.60926368374, 0.11838876311594504, 0.0006542386534383643, 3.04952440639076e-06, 0.8554996812359317, 0.0830520946010721, 0.07415544014890219, 0.004402753966961502, 37.865567741232354, 0.018953066962354975, 10.12736126558582, 0.0032889795740147407, 18.63730434782609, 0.027478260869565223, 0.014015914311316933, -1.2369965255696451e-08, -0.0076521037149163175, -9.059871429203917e-05, -1.2369965255696451e-08, 9.299599105172919e-12, -9.976251474114345e-08, -9.1223338086089e-09, -0.0076521037149163175, -9.976251474114345e-08, 0.006898304015764268, 0.00012629961742572106, -9.059871429203917e-05, -9.1223338086089e-09, 0.00012629961742572106, 1.9384242493595244e-05
2005M, 144.384833, 23.20075, 0.022, 0.023072994129384964, 53396.77, 53480.51, CSP, 53406.82124598045, 0.012702177609753562, 0.0064442028549211204, 8.50069203422539e-06, 1.1218042917825888, 0.012499770077638028, 0.09471148030584058, 0.0010709068357836287, 35.361472837896095, 0.003986625576301273, 10.813351840715338, 0.002656906099817178, 16.253766666666667, 0.013416666666666669, 0.0001613453174895513, -6.081002439260778e-09, -2.1361433366245658e-05, 1.471206873804933e-07, -6.081002439260778e-09, 7.226176506074302e-11, -6.295134389827335e-08, -7.143857731533951e-09, -2.1361433366245658e-05, -6.295134389827335e-08, 0.0001562445947451849, 4.052905799910592e-06, 1.471206873804933e-07, -7.143857731533951e-09, 4.052905799910592e-06, 1.1468414509281037e-06
2008bf, 181.012083, 20.245167, 0.0235, 0.024411752508128857, 54546.79, 54646.49, CSP, 54555.423441344035, 0.014658261228760239, 0.007836201946059641, 1.449344164099366e-05, 0.642111099033642, 0.014222233386244065, -0.016513562624829396, 0.0014709998312259368, 35.4071893656962, 0.005289925242005487, 9.335821037180079, 0.031184576784899356, 16.273645161290325, 0.014258064516129036, 0.00021486462463527403, -1.7140965198477865e-08, -6.260882176686259e-05, 9.208880781224554e-07, -1.7140965198477865e-08, 2.10059850600889e-10, -1.379896682169444e-07, -1.7055963779807015e-08, -6.260882176686259e-05, -1.379896682169444e-07, 0.0002022724771620167, 8.455815568069525e-06, 9.208880781224554e-07, -1.7055963779807015e-08, 8.455815568069525e-06, 2.1638405034667346e-06
2006eq, 322.154708, 1.228194, 0.0495, 0.048494734308785356, 53980.56, 54029.51, CSP, 53974.38607903952, 0.14409801577494363, 0.0007848996493501094, 1.1677604333583214e-05, -2.0312755912269784, 0.03135941396495512, 0.18969916173451445, 0.00754327108845455, 36.881875994912136, 0.028093702698819632, 10.120574709522273, 0.002816689517966661, nan, nan, 0.02076427990554458, -1.362992015638851e-06, -0.001451708443892913, 0.0005813108827812365, -1.362992015638851e-06, 1.3636644297172147e-10, -4.132340170642804e-08, -7.68871158862206e-08, -0.001451708443892913, -4.132340170642804e-08, 0.000983428288140554, 4.629075415871988e-05, 0.0005813108827812365, -7.68871158862206e-08, 4.629075415871988e-05, 5.6900938713914286e-05
2008hj, 1.007958, -11.16875, 0.0379, 0.03630007086410033, 54794.58, 54834.55, CSP, 54802.31272216376, 0.018962492235004902, 0.00292326546247959, 5.374860361917955e-06, 0.43511919480597183, 0.021748608894467947, 0.03183716715124947, 0.0016410263970638133, 36.30202783984328, 0.006242779839308932, 10.973017153863509, 0.002418117405834231, 17.229261904761902, 0.014666666666666666, 0.00035957612556467716, 1.1565552128155109e-08, -0.0001310978905364859, -3.485792838919645e-06, 1.1565552128155109e-08, 2.8889123910116808e-11, -7.494331273022146e-08, -7.03772401556212e-09, -0.0001310978905364859, -7.494331273022146e-08, 0.0004730049947171968, 1.598335765562314e-05, -3.485792838919645e-06, -7.03772401556212e-09, 1.598335765562314e-05, 2.6929676358602406e-06
2009D, 58.595125, -19.181722, 0.025, 0.025176933726842318, 54834.67, 54890.52, CSP, 54841.83334037175, 0.014458404832112137, 0.0072484209237593505, 8.94397888001696e-06, 0.719641050550609, 0.010630098286362744, 0.05787338582397671, 0.0010238737246080754, 35.28203387758296, 0.003708032009463258, 10.288567554002853, 0.000981265532668124, 16.255787878787878, 0.013212121212121213, 0.0002090454742030529, 4.972864728483476e-09, -6.01231076034229e-05, -1.2009023180080461e-06, 4.972864728483476e-09, 7.999475820618943e-11, -4.9853674820603375e-08, -7.2506734301735925e-09, -6.01231076034229e-05, -4.9853674820603375e-08, 0.00011299916342983845, 3.108075213660926e-06, -1.2009023180080461e-06, -7.2506734301735925e-09, 3.108075213660926e-06, 1.048317403942813e-06
2008gl, 20.228417, 4.805306, 0.034, 0.032742544933472346, 54765.7, 54844.55, CSP, 54768.5065886941, 0.027576255964959273, 0.0029466589448881937, 4.905302814938822e-06, -1.2225594322570954, 0.01431904550654195, 0.0619796707740336, 0.0015246050360357144, 35.94992430741414, 0.005358006595284328, 11.359976556285138, 0.0066667387890840925, 17.297520833333333, 0.03352083333333333, 0.0007604499296916311, -1.3874551786375576e-08, -0.00021859995960876372, -3.970380886659232e-06, -1.3874551786375576e-08, 2.406199570624673e-11, -2.0192947817299514e-08, -5.637995023429462e-09, -0.00021859995960876372, -2.0192947817299514e-08, 0.0002050356603887343, 4.016517395964577e-06, -3.970380886659232e-06, -5.637995023429462e-09, 4.016517395964577e-06, 2.3244205159054623e-06
2007A, 6.319417, 12.886806, 0.0177, 0.01599141880672713, 54107.53, 54133.53, CSP, 54113.68349201693, 0.02810901357952389, 0.006783506271672503, 2.2031023894028906e-05, 0.5238550616770787, 0.04587694062616998, 0.2746277248063708, 0.0026809964911653347, 34.6781236273572, 0.011204140406342997, 6.774565304332999, 0.07187074108120962, 15.972217391304342, 0.02347826086956522, 0.0007901167367553305, 7.219138193081863e-08, -0.00034960623150847084, -1.3010723183209852e-05, 7.219138193081863e-08, 4.853660138192726e-10, -7.07307884669981e-07, -5.371563895435948e-08, -0.00034960623150847084, -7.07307884669981e-07, 0.0021047534025980565, 7.933580230463816e-05, -1.3010723183209852e-05, -5.371563895435948e-08, 7.933580230463816e-05, 7.187742185640836e-06
2008ar, 186.158, 10.838167, 0.0261, 0.02586206495019581, 54527.79, 54627.59, CSP, 54535.24245274199, 0.020211686147376895, 0.004874759085663298, 1.4643418448409136e-05, -0.0462003794961352, 0.017862804762784623, 0.06811114579158367, 0.002047550533696283, 35.56507723398275, 0.007438903660560424, 10.102752183811647, 0.001262498820507511, 17.275375, 0.036125000000000004, 0.0004085122671623598, -7.442681703037129e-08, -5.0206541571351905e-05, 4.688407812041553e-06, -7.442681703037129e-08, 2.14429703855209e-10, -1.7073530054157548e-07, -2.3635475703801855e-08, -5.0206541571351905e-05, -1.7073530054157548e-07, 0.0003190811516107071, 1.2480851745393126e-05, 4.688407812041553e-06, -2.3635475703801855e-08, 1.2480851745393126e-05, 4.192463188039933e-06
2006ej, 9.749042, -9.015722, 0.0205, 0.018069132884244235, 53979.74, 54046.74, CSP, 53976.03701030585, 0.07659775912907207, 0.008184222906893603, 4.624973365556987e-05, -1.4058483076582085, 0.01678495839847427, 0.004723381070307614, 0.0030285974788911403, 34.983385909879004, 0.011211385338195236, 10.279706103453293, 0.0008070475039513622, 16.416666666666664, 0.0295, 0.005867219364958849, -2.7555229288627465e-06, -0.0003233257096047205, 5.927393878601523e-05, -2.7555229288627465e-06, 2.1390378632111524e-09, -1.5116025649299783e-07, -8.012444513934952e-08, -0.0003233257096047205, -1.5116025649299783e-07, 0.0002817359776225955, -2.6595851575437924e-06, 5.927393878601523e-05, -8.012444513934952e-08, -2.6595851575437924e-06, 9.172402689145771e-06
2005eq, 47.205458, -7.03325, 0.029, 0.028413520825003265, 53647.8, 53751.66, CSP, 53655.3711764735, 0.03183719766821014, 0.004010676681545509, 8.508574875286947e-06, 1.3070410703848423, 0.020538032319190047, 0.127908495646641, 0.0016667473716045376, 35.80576583427611, 0.006312673228152169, 11.032511457537016, 0.0010013614597814862, 16.85030303030303, 0.01751515151515152, 0.0010136072076344944, -7.498139555635744e-08, -0.000341774200114495, 2.119313067912872e-08, -7.498139555635744e-08, 7.239584640836428e-11, -7.492038083159699e-08, -1.1017998821101173e-08, -0.000341774200114495, -7.492038083159699e-08, 0.00042181331789431926, 1.3284364640831063e-05, 2.119313067912872e-08, -1.1017998821101173e-08, 1.3284364640831063e-05, 2.778046800750635e-06
2008gg, 21.346, -18.172444, 0.032, 0.03099832534188527, 54753.63, 54827.57, CSP, 54752.09000060626, 8.686765795573592e-08, 0.0034536874341964028, 6.8319213756161655e-06, 0.6122125474341911, 0.013001298926008098, 0.14961987081459388, 0.0014836356629159334, 35.79709372856085, 0.005302552512207545, 11.850745409234504, 0.0015379705707240455, 17.121041666666667, 0.012000000000000002, 7.546381556089108e-15, -1.116192381218024e-18, -1.680484056443978e-15, 1.0097704464433457e-16, -1.116192381218024e-18, 4.6675149682601085e-11, -6.347586975166488e-08, -8.388746407632088e-09, -1.680484056443978e-15, -6.347586975166488e-08, 0.0001690341605288143, 8.862164600742127e-06, 1.0097704464433457e-16, -8.388746407632088e-09, 8.862164600742127e-06, 2.2011747802760012e-06
2007ux, 152.33325, 14.992444, 0.0309, 0.031516000192171406, 54466.82, 54558.61, CSP, 54464.02356534009, 0.058658597994508455, 0.0018622720890861552, 8.390144373596516e-06, -2.1682055461378615, 0.018114054987860895, 0.1888515324241992, 0.0025205693061413044, 35.92537914906298, 0.009382335991580074, 10.222315389325127, 0.0013786653578807876, 17.56055172413793, 0.02255172413793104, 0.00344083182217851, -4.053568730818532e-07, -0.0005845467724304756, 6.438821652315996e-05, -4.053568730818532e-07, 7.039452260979327e-11, 3.905023056977814e-08, -1.616902362400852e-08, -0.0005845467724304756, 3.905023056977814e-08, 0.0003281207560656967, -5.454332150418789e-06, 6.438821652315996e-05, -1.616902362400852e-08, -5.454332150418789e-06, 6.353269627061656e-06
