objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2007le, 354.701708, -6.522583, 0.0067, 0.00721831296758868, 1388.57, 1470.55, CSP, 32.04590948313564, 0.02511434446045064, 1.1037331683647347, 0.014568030562576948, 1399.255409022046, 0.07689080433310236, 0.34157488428717825, 0.0076095070204945, 0.0, 0.0
2008hu, 122.3115, -18.653639, 0.0497, 0.04850435536672504, 1804.74, 1844.84, CSP, 36.70469415617788, 0.02401567269757469, 0.7811499783067034, 0.008112114691149802, 1807.0939455412467, 0.17217497808613866, 0.043216118520006654, 0.010833744552615432, 10.107881298730984, 0.007118355222168162
2009J, 88.838042, -76.922444, 0.0158, 0.014890857135333668, 1846.74, 1867.68, CSP, 36.94290202822397, 0.11093886762467138, 0.6122079341207736, 0.05683691871798967, 1837.3305682852783, 1.3640816310807202, -0.25432687673073606, 0.07567692324544265, 0.0, 0.0
2006ob, 27.950458, 0.263417, 0.0592, 0.05953434609901964, 1060.65, 1121.57, CSP, 37.01756314648519, 0.02801602649487061, 0.7288269036227598, 0.010100560891108548, 1064.0790337261137, 0.12013385537023126, 0.024006272803434762, 0.01342215982398956, 11.3688972447224, 0.0010849287166291976
2006bh, 340.067083, -66.485083, 0.0109, 0.01208496292204253, 829.91, 891.79, CSP, 33.35622924922383, 0.009367925109131103, 0.8034078450059727, 0.0036798530360209495, 833.9592083780663, 0.05511419657131041, 0.014727708207116908, 0.004230980383434203, 0.0, 0.0
2008fp, 109.135833, -29.3255, 0.0057, 0.006727065917284003, 1724.84, 1874.61, CSP, 31.47800216110961, 0.018154405078214537, 1.078472714663602, 0.011044185233976546, 1730.7884165638457, 0.06587762285690606, 0.5022140133453453, 0.005128263210050371, 0.0, 0.0
2005na, 105.402583, 14.13325, 0.0263, 0.02586612312226988, 738.71, 834.54, CSP, 35.079366918350736, 0.013714743633457474, 0.9535692763122446, 0.006293734042211676, 740.8858477705603, 0.10365854434514452, 0.054036330964269706, 0.004618736148213581, 10.902842205220578, 0.000773697241361911
2008R, 45.97375, -11.994278, 0.0135, 0.012441821667521946, 1493.63, 1532.52, CSP, 33.74488903963539, 0.014587018579075683, 0.5999905461628592, 0.00822551820449472, 1495.181947671597, 0.059699265140134995, 0.00446919116630407, 0.009456131085532438, 0.0, 0.0
2005bg, 184.321583, 16.371556, 0.0231, 0.02194165295875683, 471.65, 512.61, CSP, 35.01361966450244, 0.0418654929504419, 1.0835474879131917, 0.026895606938857116, 468.9775436296823, 0.29478395201175533, 0.050386461903691525, 0.01276267815845069, 9.797047393282007, 0.0010007345933335352
2007cg, 201.389917, -24.65225, 0.0332, 0.033237189068011874, 1235.63, 1259.59, CSP, 35.73222961993676, 0.10986456303939543, 1.409901479925615, 0.05403128433487713, 1222.9647589694232, 1.1985760448521874, 0.33838172356586743, 0.06470975100182813, 10.398172569001606, 0.0016084521206963715
2004gu, 191.603, 11.948917, 0.0459, 0.047058690383362745, 357.86, 410.84, CSP, 36.472759675530504, 0.02773249721476929, 1.2452376882283818, 0.012155280537865097, 362.24515731784294, 0.22420779959549172, 0.060530642904534235, 0.0109494343633858, 10.169178254050212, 0.004755317603574504
2007jd, 44.972375, 1.160722, 0.0726, 0.07196650764356782, 1362.83, 1409.83, CSP, 37.41707668879062, 0.050079751961884626, 0.9107499116861186, 0.027585566202221086, 1361.2406100540493, 0.8498505228547798, 0.18513375712707775, 0.017640873611308113, 10.066482342060203, 0.004639021074210903
2007hx, 31.612833, -0.899528, 0.0794, 0.0805321245788928, 1354.78, 1411.73, CSP, 37.76609945685637, 0.0639427563377545, 1.0983901379768912, 0.04327154359803293, 1353.797273368489, 0.4666857716952694, 0.21387858232578066, 0.019079985695448443, 10.947106485783687, 0.006470108825979771
2005hj, 21.701125, -1.238, 0.0574, 0.05752618246401009, 671.67, 761.57, CSP, 37.06890564482766, 0.03703951440749025, 1.262482244855177, 0.01844587766727681, 674.2528688146082, 0.26156768197855107, -0.01947844012460361, 0.014316405874413034, 9.52474382794979, 0.008544462310874676
2005hk, 6.961958, -1.238, 0.013, 0.014131769112687653, 675.61, 761.54, CSP, 33.68167216913978, 0.06292607167130577, 0.5021427346550704, 0.02306467812271808, 686.9709151404537, 0.16251938351316164, 0.07307839310343435, 0.037091705355018205, 7.080229839734838, 0.08396932075560941
2005ir, 19.182333, 0.794556, 0.0763, 0.07518107299340193, 682.62, 740.53, CSP, 37.57725213982669, 0.04450258812568151, 1.1243834934569157, 0.025826108486501048, 685.0376911981496, 0.16524900387832522, 0.05486238494464921, 0.013806583350602702, 10.12736126558582, 0.0032889795740147407
2005M, 144.384833, 23.20075, 0.022, 0.02146124448449238, 396.77, 480.51, CSP, 35.12346074280643, 0.008002425293156663, 1.2116547202728571, 0.003559495496767705, 406.25873092282643, 0.03266147049090377, 0.03260534859511812, 0.0027956451685988513, 10.813351840715338, 0.002656906099817178
2008bf, 181.012083, 20.245167, 0.0235, 0.02234156077242777, 1546.79, 1646.49, CSP, 35.045440993091475, 0.0095669110228267, 1.0267610339083098, 0.004616073375071526, 1555.1325139003334, 0.03195742851838464, -0.002804563810801241, 0.0028437104430903267, 9.335821037180079, 0.031184576784899356
