objname, origin, z_cmb, z_cmb_err, hostMass, hostMass_err, x1, x1_err, c, c_err, x0_err, x0_err, ra, dec, mu, mu_err
2007ap, Pan+, 0.01668, 0.0, 10.414, 0.088, -1.7408, 0.0748401, -0.0617867, 0.0307531, 0.0162171, 0.000669641, 239.095978, 16.51609, 34.3765, 0.1537
2007ar, Pan+, 0.05335, 0.0, 11.792, 0.047, -1.69873, 0.2533, -0.0162106, 0.0512901, 0.00158082, 0.000104613, 200.257492, 58.550781, 36.8251, 0.1418
2007bd, Pan+, 0.03185, 0.0, 10.978, 0.442, -1.41883, 0.0669158, -0.0309872, 0.0270307, 0.00524909, 0.000163936, 127.889061, -1.19937, 35.5778, 0.1193
2007co, Pan+, 0.02656, 0.0, 10.366, 3.818, -0.22032, 0.0638727, 0.0842432, 0.0297153, 0.00560277, 0.000336436, 275.765015, 29.897051, 35.3589, 0.1232
2007cq, Pan+, 0.0251, 0.0, 10.085, 0.139, -0.694209, 0.1212, -0.0330027, 0.0299227, 0.0102597, 0.000603219, 333.668427, 5.08016, 34.908, 0.1265
2007F, Pan+, 0.02419, 0.0, 10.084, 0.473, 0.5366, 0.0424565, -0.0388074, 0.0254871, 0.0099716, 0.000270165, 195.812744, 50.618759, 35.1429, 0.1271
2007O, Pan+, 0.03659, 0.0, 10.988, 0.031, -0.565831, 0.0790996, -0.0183904, 0.0284261, 0.00422078, 0.000134211, 224.0215, 45.404831, 35.9122, 0.1167
2008af, Pan+, 0.03411, 0.0, 11.383, 0.436, -1.56427, 0.1363, 0.0135848, 0.0302379, 0.00392012, 0.000137576, 224.868713, 16.653271, 35.7522, 0.1219
2008bf, Pan+, 0.02453, 0.0, 11.166, 2.95, 0.3072, 0.071517, -0.019894, 0.0265106, 0.011577, 0.000364446, 181.011993, 20.245081, 34.9506, 0.1273
2008L, Pan+, 0.0173, 0.0, 10.672, 0.446, -1.68199, 0.1017, -0.0965636, 0.0390189, 0.019088, 0.00162745, 49.319149, 41.38229, 34.2886, 0.158
2007A, Pan+, 0.01595, 0.0, 10.832, 0.151, 0.4448, 0.2015, 0.0979393, 0.033024, 0.0121299, 0.000601224, 6.319504, 12.886883, 34.5454, 0.1472
2007aj, Pan+, 0.03156, 0.0, 7.014, 0.26, -0.396892, 0.0960251, -0.057253, 0.0312281, 0.00546434, 0.000241321, 191.977173, 54.010578, 35.7047, 0.1226
2007cb, Pan+, 0.03753, 0.0, 10.286, 4.303, 1.1412, 0.4027, -0.0690089, 0.0588124, 0.00499767, 0.000502726, 209.571655, -23.372688, 36.1125, 0.1283
2007cc, Pan+, 0.03002, 0.0, 10.644, 3.727, 1.783, 0.6316, 0.1262, 0.0560053, 0.00709693, 0.000627757, 212.175217, -21.596527, 35.2325, 0.1401
2007fb, Pan+, 0.01681, 0.0, 10.272, 3.866, -1.55959, 0.2036, -0.0854714, 0.0317552, 0.0137395, 0.000643649, 359.218262, 5.508861, 34.6378, 0.1525
2007hu, Pan+, 0.0354, 0.0, 11.689, 0.026, -1.32746, 0.4667, 0.2284, 0.0657519, 0.00185299, 0.000231863, 254.124527, 27.977709, 35.9785, 0.1604
2007is, Pan+, 0.02968, 0.0, 10.735, 0.067, -0.411317, 0.1843, 0.0375944, 0.0316113, 0.0059448, 0.000215995, 251.810867, 40.243443, 35.4, 0.1321
2007kh, Pan+, 0.04943, 0.0, 8.727, 0.063, 0.6357, 0.3954, 0.1405, 0.0610388, 0.00159959, 0.000190774, 48.800205, 43.170387, 36.6623, 0.1507
2007kk, Pan+, 0.04119, 0.0, 11.33, 0.048, 0.9639, 0.1319, -0.0182667, 0.0401396, 0.00370659, 0.000411101, 55.596909, 39.241749, 36.2844, 0.1176
2007ob, Pan+, 0.03266, 0.0, 10.464, 0.019, -0.541047, 0.2622, 0.2462, 0.0390322, 0.00269805, 0.000206029, 348.108276, 13.913647, 35.6316, 0.1332
2007su, Pan+, 0.02662, 0.0, 9.126, 0.081, 0.3117, 0.347, 0.2001, 0.035868, 0.00384231, 0.000241522, 334.787018, 13.177747, 35.4565, 0.1336
2007ux, Pan+, 0.03043, 0.0, 10.381, 0.123, -2.51131, 0.1019, 0.184, 0.0368812, 0.00240862, 0.000114794, 152.333084, 14.992519, 35.6697, 0.1315
2008C, Pan+, 0.01708, 0.0, 10.93, 3.158, -0.725556, 0.1179, 0.1156, 0.0311406, 0.0126059, 0.000683039, 104.297791, 20.437105, 34.2991, 0.1498
2008Y, Pan+, 0.07029, 0.0, 10.93, 0.072, -0.607786, 0.2049, 0.0869005, 0.0346573, 0.00089032, 2.97838e-05, 169.877426, 54.462837, 37.4003, 0.1224
2008ac, Pan+, 0.05351, 0.0, 9.84, 0.08, 0.2136, 0.6023, -0.0334482, 0.0503477, 0.00176171, 0.000167418, 178.438324, 48.422443, 36.9818, 0.1392
2008ar, Pan+, 0.02739, 0.0, 10.408, 0.052, 0.0201165, 0.0707085, -0.0341985, 0.02684, 0.00718159, 0.000231664, 186.158005, 10.837983, 35.4646, 0.1217
2008at, Pan+, 0.03513, 0.0, 11.459, 3.329, -1.53386, 0.172, 0.2446, 0.0465686, 0.00201777, 0.000155568, 156.801956, 71.415428, 35.8116, 0.14
2008bw, Pan+, 0.03276, 0.0, 10.723, 3.938, -1.55005, 0.2502, -0.1813, 0.0615412, 0.00518509, 0.000551178, 276.710175, 51.137894, 35.8576, 0.1592
2008by, Pan+, 0.04584, 0.0, 8.568, 0.103, 0.4778, 0.3085, -0.14785, 0.0345519, 0.00331333, 0.00023745, 181.337112, 40.945675, 36.5747, 0.1233
2008bz, Pan+, 0.06143, 0.0, 11.031, 0.016, 0.0368852, 0.3798, -0.105172, 0.0358575, 0.00156061, 8.05563e-05, 189.740356, 11.129333, 37.3107, 0.1237
2008cf, Pan+, 0.04693, 0.0, 5.0, 10.0, 1.3533, 0.4188, -0.106763, 0.0306778, 0.00351346, 0.000153492, 211.885773, -26.552151, 36.546, 0.1291
2008ds, Pan+, 0.01994, 0.0, 10.316, 0.048, 1.3355, 0.4185, -0.0626649, 0.0610982, 0.0166525, 0.00174926, 7.46175, 31.392744, 34.8038, 0.1446
2008fr, Pan+, 0.03959, 0.0, 8.896, 0.075, 0.5656, 0.1133, -0.0905246, 0.0290211, 0.00427921, 0.000160711, 17.955099, 14.640614, 36.1968, 0.1168
2008gb, Pan+, 0.0364, 0.0, 10.268, 4.495, 0.0787412, 0.1603, 0.00615872, 0.0406668, 0.00330552, 0.000331804, 44.488087, 46.865608, 36.2122, 0.1262
2008gl, Pan+, 0.03297, 0.0, 11.125, 0.432, -1.45792, 0.0983427, -0.0119829, 0.0283975, 0.0042728, 0.000132857, 20.228416, 4.805339, 35.746, 0.1208
2009D, Pan+, 0.02466, 0.0, 10.285, 3.965, 0.4623, 0.1169, -0.0378938, 0.0294842, 0.0114086, 0.000475579, 58.59507, -19.181822, 35.0361, 0.1296
2009ad, Pan+, 0.02834, 0.0, 11.016, 3.5, 0.1773, 0.0747449, -0.0466209, 0.0307263, 0.00757707, 0.000463647, 75.889137, 6.65995, 35.4628, 0.1228
2009an, Pan+, 0.00931, 0.0, 10.953, 0.017, -1.41369, 0.0991927, 0.0471924, 0.0295086, 0.0352774, 0.00116943, 185.697433, 65.85128, 33.2805, 0.2013
2009ds, Pan+, 0.0205, 0.0, 11.088, 2.92, 0.5124, 0.1354, -0.0246662, 0.0312179, 0.0140512, 0.000551232, 177.266769, -9.729022, 34.7816, 0.1417
2008050, Pan+, 0.04702, 0.0, 5.0, 10.0, 1.1308, 0.4765, 0.0224269, 0.034407, 0.00310492, 0.000123876, 204.198303, 5.141781, 36.3302, 0.1432
2008051, Pan+, 0.03908, 0.0, 5.0, 10.0, 0.769, 0.1384, -0.100475, 0.0300975, 0.00495673, 0.000188808, 229.995499, 4.904647, 36.087, 0.1185
2009kk, Pan+, 0.01243, 0.0, 10.249, 3.442, -1.29105, 0.0821123, -0.0824763, 0.0355759, 0.0299203, 0.00228768, 57.434666, -3.264628, 33.8273, 0.1816
2009kq, Pan+, 0.01247, 0.0, 10.186, 0.104, -0.0495283, 0.1454, 0.000678236, 0.0307645, 0.0350334, 0.00140434, 129.063126, 28.067131, 33.632, 0.1769
2009le, Pan+, 0.01703, 0.0, 10.452, 3.416, 0.0390956, 0.1224, 0.048331, 0.0330772, 0.0170398, 0.000593131, 32.321499, -23.412428, 34.2898, 0.1523
2009na, Pan+, 0.02212, 0.0, 10.568, 0.141, -0.648369, 0.0987752, -0.0144977, 0.0283858, 0.0108735, 0.000345502, 161.756027, 26.543814, 34.8538, 0.1354
2009nq, Pan+, 0.01526, 0.0, 10.667, 0.513, -0.418926, 0.7586, 0.0483588, 0.0478132, 0.0170705, 0.001449, 348.820862, 19.022661, 34.2159, 0.1923
2010A, Pan+, 0.01985, 0.0, 10.491, 0.105, 0.5027, 0.1286, 0.1389, 0.0332569, 0.0101755, 0.000369516, 38.164413, 0.619417, 34.6514, 0.15
2010H, Pan+, 0.01621, 0.0, 11.084, 0.015, -1.36205, 0.1124, -0.107464, 0.0429581, 0.0201371, 0.00102044, 121.601433, 1.035836, 34.3048, 0.1631
2010Y, Pan+, 0.01123, 0.0, 10.599, 0.047, -2.53389, 0.0848301, -0.0311005, 0.031534, 0.0224362, 0.000756706, 162.766647, 65.779556, 33.8227, 0.182
2010dt, Pan+, 0.05294, 0.0, 10.874, 0.441, -0.0520417, 0.4379, -0.0649855, 0.0420657, 0.00198047, 0.000108774, 250.812759, 32.67432, 36.9456, 0.1323
PTF10bjs, Pan+, 0.03052, 0.0, 5.0, 10.0, 0.8214, 0.1942, 0.0766877, 0.2338, 0.00694854, 0.00211325, 195.296722, 53.815968, 35.2478, 0.3934
2004ef, Pan+, 0.02979, 0.0, 10.992, 0.049, -1.40044, 0.0259366, 0.0837238, 0.022323, 0.00408637, 0.000134863, 340.541992, 19.9946, 35.5361, 0.1149
2004eo, Pan+, 0.01457, 0.0, 10.982, 0.253, -1.19557, 0.027151, 0.0012862, 0.0255094, 0.0217402, 0.00123295, 308.226013, 9.92853, 33.9712, 0.1559
2004ey, Pan+, 0.01462, 0.0, 9.95, 0.154, 0.0829829, 0.024032, -0.14021, 0.0260432, 0.031483, 0.00210094, 327.28299, 0.444222, 34.056, 0.154
2004gu, Pan+, 0.04698, 0.0, 10.225, 0.159, 1.3066, 0.0668167, 0.0765143, 0.0228557, 0.00241239, 5.71977e-05, 191.602997, 11.9489, 36.5225, 0.1091
2005be, Pan+, 0.03416, 0.0, 10.31, 0.2, -1.86531, 0.0665293, -0.110472, 0.0278354, 0.00437602, 0.000171019, 224.886002, 16.669901, 35.8954, 0.1187
2005bo, Pan+, 0.01556, 0.0, 10.3578, 0.2809, -1.0849, 0.1351, 0.2321, 0.0237505, 0.0122075, 0.000385837, 192.421005, -11.0965, 33.9339, 0.1573
2005el, Pan+, 0.01489, 0.0, 11.305, 2.674, -1.35486, 0.0510132, -0.138706, 0.0286559, 0.0260369, 0.00160463, 77.953003, 5.19428, 34.0875, 0.1572
2005eq, Pan+, 0.02788, 0.0, 10.956, 0.478, 1.3741, 0.0634508, 0.0123034, 0.0254755, 0.00684514, 0.000298272, 47.205502, -7.03325, 35.5833, 0.1165
2005iq, Pan+, 0.03295, 0.0, 10.6001, 0.2809, -1.10945, 0.0504201, -0.0978155, 0.0222088, 0.00448154, 9.8741e-05, 359.63501, -18.7092, 35.9678, 0.1094
2005kc, Pan+, 0.0139, 0.0, 11.084, 0.439, -0.743786, 0.0459345, 0.1759, 0.0282698, 0.0137152, 0.000937791, 338.531006, 5.56842, 34.0264, 0.1607
