objname, objname, ra, dec, z, MJDs, MJDe, mu, st, Tmax, EBVhost, mu_err, st_err, Tmax_err, EBVhost_err, origin, host_mass, host_mass_err
2022ubt, 2022ubt, 289.1201163647384, 41.889354239490345, 0.052, 2458297.8819097, 2460201.7033333, 37.282281297039845, 0.6783855424358174, 2459843.920998301, -0.05480101862203339, 0.04941196493046269, 0.02389544565784443, 0.17459178549897714, 0.02509564473295687, ATLAS, 10.387851541544412, 0.0032791740061456085
2018ciw, 2018ciw, 224.878291666667, 28.1830166666667, 0.056, 2458222.8604398, 2459266.8884491, 38.18462641125565, 0.5120127186771534, 2458275.211707546, -0.9011236336565868, 0.4531952424354787, 0.0688552183886798, 0.6743510668802958, 0.40172718714556627, ZTF, 12.38697996711908, 0.004384734224813007
2021jbp, 2021jbp, 201.24160193091643, -24.180784840289967, 0.042, 2459305.54117615, 2459661.26071985, 37.43121967171058, 1.040176175920476, 2459317.1660009865, 0.07583866161230703, 0.16269213877480493, 0.061338429466185077, 0.7245230691302138, 0.07982732890697951, ATLAS, 0.0, 0.0
2018lph, 2018lph, 250.902241666667, 33.5336, 0.08, 2458206.9226736, 2460505.8217477, 37.86186279705163, 0.7582597340168824, 2458312.385566871, 0.14877798269880296, 0.032654992664605226, 0.018692792946111658, 0.11217039498412484, 0.01599113700389906, ZTF, 10.34149581173226, 0.004396506937327917
2022aecb, 2022aecb, 74.75937846380604, -0.4419266446851301, 0.015, 2459623.6717361, 2460000.27427125, 34.02779068755671, 0.2582213959594301, 2459941.8039252176, 0.6206842019345462, 0.11515066266889101, 0.008095329004663605, 0.17818689874488708, 0.07738798042658947, ATLAS, 9.343034383797137, 0.0029055562056948775
2021agej, 2021agej, 22.491984809554648, 19.43918211115813, 0.04, 59557.27892655, 59615.23565325, 37.95411864468571, 1.0107417175884783, 59589.66618596996, -0.12681211582209187, 0.19693590426354313, 0.14613821531045873, 1.3080654546095942, 0.17446843280879665, ATLAS, 10.009293562787725, 0.0023065127158425625
2023fwb, 2023fwb, 320.9141590918043, 39.58090292249856, 0.027, 2458230.9921296, 2460204.657963, 35.54824429927345, 0.4227663928442084, 2460058.783029981, -0.18333577220763914, 0.04394841386997651, 0.010793390541788152, 0.09834334940285183, 0.024104840527557195, ATLAS, 8.083420755485886, 0.029802813525155545
2023abdv, 2023abdv, 17.78523155404982, -13.944130611739116, 0.052, 2458356.9061227, 2460342.04917965, 37.382542265977555, 1.2003983230103104, 2460309.6861685724, 0.24576382786715117, 0.12453433637961037, 0.09939959432995832, 1.0374615121537372, 0.09819576357805418, ATLAS, 9.106052225138164, 0.04069200151682838
2023vjh, 2023vjh, 60.663261124483185, 25.233542294649613, 0.019, 2458788.8101042, 2460392.6400463, 34.690229196941075, 0.4147693355328278, 2460245.3078496186, 0.3804613601703099, 0.07900292721573364, 0.02006294627918194, 0.2190736247769518, 0.04799683100689102, ATLAS, 10.650404500305129, 0.002056533560023752
2020acoo, 2020acoo, 145.30888148708254, 26.088601383976407, 0.044125, 2459193.56125295, 2459250.9157986, 37.39654853708999, 0.5473020366852271, 2459200.1282895436, -0.48715857937569923, 0.10614166977084273, 0.037645277592505286, 0.3503194377922016, 0.053918117592830106, ATLAS, 10.685674382711474, 0.0012919791233251478
2018baz, 2018baz, 246.055791666667, 25.2720555555556, 0.1, 2458206.0074074, 2459744.8931713, 37.189422679500524, 0.8676292520742502, 2458215.4640117683, 0.6592234063955676, 0.23940315755690406, 0.07054989768680786, 0.7818911790740356, 0.17765202241421715, ZTF, 8.666571789473174, 0.1010321439244665
2022ywc, 2022ywc, 50.55047833824845, -42.884710249173125, 0.058, 59880.12562455, 59960.08117665, 37.77251120320051, 1.480964803132229, 59889.381901894936, -0.2521363073707612, 0.08481543842762496, 0.04992817587966189, 0.5578872962260681, 0.04841507252520191, ATLAS, 10.869728464626363, 0.12569287012396524
2019luv, 2019luv, 328.812516666667, -12.1489944444444, 0.06, 2458294.9609954, 2460110.9421759, 36.99426827121871, 0.6653555133016746, 2458691.5058304183, 0.4307563499209841, 0.06307313617009835, 0.043388573247186056, 0.4882110174603802, 0.06518174869897114, ZTF, 9.828101197306356, 0.006206509407890266
2022aaok, 2022aaok, 138.75348383900604, 22.589561981475406, 0.027214, 2458503.8706019, 2460208.008287, 35.903254120121034, 0.37449440741085127, 2459906.7540792176, -0.0791682193659167, 0.05400029033345963, 0.014312253215476585, 0.21287731255180148, 0.03096144308925804, ATLAS, 10.475026394544468, 0.000842787923706665
2021fnr, 2021fnr, 219.50783765468793, 10.184075515070733, 0.026949, 2458236.7924074, 2460449.8184722, 35.93550223050134, 0.41501771481576893, 2459293.2672403487, 0.08410895587614843, 0.05442000542587102, 0.015702560195057776, 0.16940156053292194, 0.0246531387661724, ATLAS, 10.287436116011223, 0.0011406832616291658
2023jah, 2023jah, 307.78867051880843, -44.26245447262259, 0.03, 60077.25649245, 60151.28810605, 36.734214036367334, 1.0001240984437056, 60090.04894182287, 0.19293636535168843, 0.08529223274581485, 0.036639161315074845, 0.49925450994980036, 0.05222514626504956, ATLAS, 10.263562418656065, 0.08115201845918558
2023omo, 2023omo, 214.2615808939578, 10.821996814290793, 0.025, 60157.79229395, 60170.98151945, 36.124895907442664, 0.22780359253138086, 60156.46560390136, -0.31233083374705944, 0.21214528977040342, 0.036831365143033055, 0.7283223133220619, 0.26754361441443486, ATLAS, 0.0, 0.0
2021jvp, 2021jvp, 215.1956051172468, -19.78613155067654, 0.044, 2458259.7712037, 2460296.0560185, 36.793340104649396, 0.38783963240740477, 2459326.890246718, -0.1555408686448986, 0.11045066973472838, 0.021427368859647456, 0.2798925539052872, 0.05713880592418662, ATLAS, 10.95457116086164, 0.0010071414066509068
2021bls, 2021bls, 250.83634089611053, 61.594851830280966, 0.019, 2458230.8877894, 2460491.8640625, 34.69292231906769, 0.26983909115380444, 2459247.023982302, 0.0007929357568135084, 0.028292030754179263, 0.008098725057796576, 0.12342141850197112, 0.022338580286353993, ATLAS, 10.690134763061476, 0.00042944945706021567
2021zsz, 2021zsz, 92.63879631704842, -14.538870149377928, 0.035746, 2458803.0281134, 2459550.8388079, 36.54839377010102, 0.6272922736177605, 2459488.9680176666, -0.005287536681708776, 0.09598647781014263, 0.05090718458181544, 0.38288930620511025, 0.11485250296663344, ATLAS, 10.964851218836822, 0.005379263240545481
2020mfd, 2020mfd, 259.0307883569117, 40.786711283988375, 0.048, 2458198.9909722, 2460491.8669444, 36.21351639700029, 0.3211113805722662, 2459013.746258832, 0.3425027709644326, 0.02056134633453203, 0.006982963866673484, 0.12526043823223754, 0.021383888003635557, ATLAS, 10.501635412079967, 0.0016352035078946753
2021oyx, 2021oyx, 358.86536871987545, -34.87484410425709, 0.049921, 59377.58692185, 59465.45057245, 37.73709631708822, 1.948115786308752, 59361.484868259664, -0.9818998413029479, 0.3000100111613482, 0.14529825916925007, 0.000895102856264111, 0.16314862117714368, ATLAS, 10.493743273271779, 0.020040484026090783
2018hkw, 2018hkw, 39.59514195668058, -11.738924787800649, 0.027, 2458056.40554975, 2459169.8109838, 35.18354131504668, 0.39813094060838955, 2458409.3843086325, 0.0566341695187602, 0.22134362029569907, 0.0372595342684591, 0.3427682386871255, 0.09338618957264984, ATLAS, 10.363890745262498, 0.0009738245140280028
2023ex, 2023ex, 194.72340272630746, 28.126949858724423, 0.023376, 2459957.61866525, 2460089.34519645, 35.89470070332151, 0.6208970255198567, 2459956.16960436, -0.5992659019465425, 0.10171037804116113, 0.0867972386793863, 0.6985306608371475, 0.1480594247352608, ATLAS, 9.95839376038976, 0.0018200594393620363
2021agnf, 2021agnf, 97.9791536881518, 35.55658245184793, 0.027, 2458429.8627083, 2460226.0100694, 35.73937755618069, 0.4188841992323576, 2459573.3208218724, -0.19561521961324566, 0.19377565587098206, 0.04354170725539015, 0.27706306997954555, 0.10324388447346548, ATLAS, 0.0, 0.0
2023dk, 2023dk, 77.7763019006191, -1.0802048956828456, 0.02844, 2458358.9628588, 2460390.6366782, 36.338415359578974, 1.2101940468023265, 2459955.3470037673, -0.020645188126714543, 0.04867445088930042, 0.04106692821075954, 0.7549600582730277, 0.03366493950644889, ATLAS, 10.658403563986226, 0.0008657073789887531
2022xkq, 2022xkq, 76.3487977104891, -11.882253212859856, 0.007735, 2458771.994375, 2460014.12444225, 33.29698852797529, 0.462158465286528, 2459878.5772505756, -0.5606653888048135, 0.047856615468804514, 0.01313396773779572, 0.13170899287731175, 0.024899203660806606, ATLAS, 0.0, 0.0
2022oux, 2022oux, 334.1940942600142, 86.93250326590747, 0.019, 2459134.9299769, 2460433.9279282, 34.991225118715015, 0.37192928146077425, 2459777.4401625884, 0.4088405556139063, 0.11522319000572542, 0.032267601783510305, 0.44694252676364826, 0.11037165623712354, ATLAS, 10.768114423095657, 0.0017432402130689096
2021bmu, 2021bmu, 19.51915847593583, 14.553705080213907, 0.053, 2458330.9343403, 2459529.764294, 36.57113231643784, 0.29269926053445594, 2459250.2983215083, 0.16836368904447715, 0.2001987756556628, 0.03956638746312267, 0.4875859333758703, 0.06069924348560182, ATLAS, 10.270301179807593, 0.004885489470990093
2021cad, 2021cad, 163.93951567951174, 24.02772392247501, 0.041546, 2458214.8633796, 2460442.7180787, 36.4628305652525, 0.2806472706088063, 2459250.3993218546, -0.2224602137519983, 0.04219360515830369, 0.012008089219703718, 0.19177852115234167, 0.027286381052596585, ATLAS, 10.358143010854041, 0.0015162175022677541
2021zqs, 2021zqs, 45.879972978556346, 27.68219875824718, 0.036465, 2458505.7290278, 2460250.7161227, 35.95570740502442, 0.41466503364313373, 2459486.755124908, 0.30028871801543094, 0.15516557317356974, 0.055321925129373895, 0.6738232551099735, 0.10839265750232677, ATLAS, 11.368436726427328, 0.0012292703565977665
2022rey, 2022rey, 268.3069708333333, 42.788525, 0.04, 2458206.996331, 2459889.6387153, 36.62813545965037, 0.43605582745964916, 2459810.5119733373, 0.24529155282517384, 0.06007852685296853, 0.023893596273316022, 0.24478425891031136, 0.0475726929298249, ZTF, 10.665653521436408, 0.0016239326144556986
2022fjx, 2022fjx, 160.87564546077388, 19.082951470611572, 0.046, 2458221.7260995, 2460258.0178009, 36.93255294382654, 0.9746982356522735, 2459675.1043285304, 0.35377530520965467, 0.05384128754805511, 0.03016487568562471, 0.29978820373350296, 0.030861817085409797, ATLAS, 7.902232705509368, 0.09912341714318443
2022kbc, 2022kbc, 181.1954625, 9.438255555555555, 0.0687, 2458476.9644213, 2460249.0448958, 38.05371726634893, 0.6993338621429662, 2459717.494318953, -0.062384645342276245, 0.2107005078411741, 0.16068578144954326, 1.3440209848306184, 0.24401676046221116, ZTF, 10.001102966465442, 0.006605906576879489
2021xfm, 2021xfm, 318.7536126075913, 21.91020380379556, 0.04, 2458344.817963, 2460451.8868866, 36.4410264162105, 0.3446833237829504, 2459449.600977685, 0.3346206613106544, 0.09858735494454494, 0.03774078696477687, 0.49692630093287704, 0.10442128413628449, ATLAS, 10.643884474652957, 0.0019805168293122876
2022xnq, 2022xnq, 1.1623692719153491, -8.099926680164582, 0.0286, 2459467.836713, 2459911.05907035, 36.13465601530584, 0.893190562909381, 2459869.2917206693, 1.2268074654824483, 0.19815343709253988, 0.1070939565047206, 1.0043774166387567, 0.14362959758556476, ATLAS, 11.059889467732273, 0.0005005721852298015
2024fid, 2024fid, 186.078606372614, 10.446274608993297, 0.06, 60396.48231675, 60444.91561425, 39.3610095278394, 0.3031589940450893, 60416.341515579275, -1.9990102773705494, 0.6470339278151422, 0.1362544270905807, 1.875783337555245, 0.1319301679339067, ATLAS, 10.486180726114952, 0.0015869039746378127
2018jag, 2018jag, 15.951294449789689, 10.592351746809557, 0.04, 2458358.9162384, 2460236.8182639, 36.69558392697107, 0.6145668107650789, 2458453.7913617003, 0.004868422881479629, 0.08768821937763378, 0.03434683789174604, 0.2638218794562683, 0.03952999729877807, ATLAS, 11.024363619703006, 0.0011197732616178959
