objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2019cdc, 212.20472173447806, 35.6142343137112, 0.02777, 0.02673977491922197, 58558.56347605, 58647.34267315, ATLAS-ZTF, 35.93374149624537, 0.040089238872334475, 0.6003410274553812, 0.01328970487210109, 58575.295666981736, 0.1090340751154057, -0.08662306614131964, 0.01826416061966885, 10.584872344449861, 0.0011367594478676015
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 0.04889309588106916, 58486.59136235, 58610.37815865, ATLAS-ZTF, 36.86222072257918, 0.10110922022615414, 0.576165853856862, 0.02949271945041816, 58492.58548093139, 0.21203178841965656, 0.2556609712219687, 0.03930627550287859, 10.54711612988143, 0.0023269572276193662
2019exc, 296.9899108210265, 3.9450551794102067, 0.06, 0.05901954821390887, 58592.62348705, 58668.48856905, ATLAS, 37.89829196697825, 0.29187078913781744, 1.0526187360012662, 0.08992720023120407, 58600.86923858302, 1.210929172086416, -0.3421307077810114, 0.11889103480174276, 10.340690842692098, 0.0025695667618407902
2019luv, 328.812516666667, -12.1489944444444, 0.06, 0.061303443716805406, 58429.1904397998, 58812.13802079996, ZTF, 36.867703934138554, 0.08353513924405476, 0.6104873597186121, 0.03391125777622846, 58690.9015668634, 0.3421364798576785, 0.28153542182027474, 0.05491377796618969, 9.828101197306356, 0.006206509407890266
2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 0.05901833840111337, 58400.27783560008, 58987.46677079983, ZTF, 37.42184004086412, 0.032466705107418385, 0.7239777874116374, 0.012718098455247271, 58695.27767290531, 0.09739192164175718, 0.038596140974170634, 0.01583034012089431, 10.979192644467481, 0.0047669442378859665
2019noh, 346.419825, 27.6659805555556, 0.0249, 0.023790246426944828, 58426.24295140011, 58967.492083299905, ZTF, 34.536272564504074, 0.0920631059948819, 0.3705491980507805, 0.019878986992013587, 58714.3375256385, 0.22369743558745533, 0.6304980670028795, 0.053303000804549514, 10.77252153435704, 0.0007017531518671983
2019op, 35.424387026612415, -25.927123010010185, 0.04, 0.04049545848588787, 58491.28400175, 58679.57638905, ATLAS-ZTF, 36.76586405746545, 0.1586538393873029, 0.5252271809730013, 0.04499198382318978, 58497.01230733827, 0.4466179937578419, -0.05754416369854554, 0.0484142484302738, 8.40685425462122, 0.0035269244904225774
2020abpe, 24.102259033033917, 22.049853890014997, 0.05, 0.05104495557935862, 59185.43413395, 59613.26274815, ATLAS-ZTF, 36.50554280249927, 0.08137890882523548, 0.488924072489461, 0.021151485621671566, 59193.71073367893, 0.2256476876334616, 0.16908267082224815, 0.03406191336150433, 10.649515955931236, 0.0029270517243323553
2020acbx, 131.588323927133, -12.656028038917848, 0.051, 0.05081509239720727, 59187.55942165, 59503.64067935, ATLAS-ZTF, 37.39482013361711, 0.14384214113603205, 0.6342770814536435, 0.05506294460622972, 59195.056971879356, 0.5048012054190071, 0.21859528447802049, 0.06841245940449332, 10.202182551202336, 0.003249982662315169
2020acoo, 145.30888148708254, 26.088601383976407, 0.044125, 0.04453371023953623, 59193.56125295, 59231.46868865, ATLAS-ZTF, 37.247943684511654, 0.09393102483400916, 0.5279414622905687, 0.02091750339632953, 59199.64896222676, 0.20772977395197345, -0.24393433721181346, 0.038168300601350645, 10.685674382711474, 0.0012919791233251478
