# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- HUBBLE RESID STD: 0.12958548329063316
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 0), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.00551355667549669 +/- 0.036976974635761585
# Avg. 'x1': -0.8959520376324503 +/- 0.26954806175496693
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2008gp, 50.75304, 1.36189, 0.03302, 0.03244, nan, nan, PanPlus, 35.7232, 0.1341, 0.00666881, 0.000416843, -0.143967, 0.0255181, 54779.758, 0.03, -0.125058, 0.0255117, 0.93, nan, 10.4696, 0.04
2004gc, 80.458122, 6.67603, 0.03192, 0.03196, nan, nan, PanPlus, 35.4911, 0.1367, 0.00463396, 0.000465522, -0.682324, 0.037444, 53326.961, 0.14, 0.0874372, 0.0316478, 5.13, nan, 10.6799, 0.12
2009al, 162.841965, 8.57853, 0.02207, 0.02328, nan, nan, PanPlus, 35.0213, 0.1452, 0.00764022, 0.000192181, -0.169484, 0.053489, 54896.949, 0.14, 0.0860053, 0.0243637, -0.02, nan, 10.7706, 0.04
2007bd, 127.888672, -1.19944, 0.03044, 0.03141, nan, nan, PanPlus, 35.6399, 0.1349, 0.00565848, 0.000148838, -1.08545, 0.0388296, 54207.32, 0.046, -0.0745282, 0.0230303, 0.08, nan, 10.4344, 0.16
2007bc, 169.810715, 20.809031, 0.02075, 0.02187, nan, nan, PanPlus, 34.7795, 0.148, 0.0106872, 0.000239326, -1.10733, 0.0338763, 54200.844, 0.066, -0.0100692, 0.0219032, -0.02, nan, 10.5792, 0.05
2009aa, 170.926163, -22.270691, 0.02705, 0.02827, nan, nan, PanPlus, 35.3554, 0.1355, 0.0070478, 0.000181441, -0.784375, 0.0277396, 54878.941, 0.028, -0.0548524, 0.0215642, 0.77, nan, 9.29935, 0.02
2008ar, 186.158005, 10.83817, 0.02617, 0.02732, nan, nan, PanPlus, 35.3268, 0.1352, 0.00762978, 0.000209806, -0.152519, 0.0377114, 54535.336, 0.044, -0.0374478, 0.0222762, 2.33, nan, 9.98914, 0.05
2007ol, 24.348734, -0.311997, 0.05594, 0.0549, nan, nan, PanPlus, 37.0165, 0.1354, 0.00142517, 3.42542e-05, -2.18303, 0.30023, 54413.25, 0.124, -0.103145, 0.0271422, 0.12, nan, 9.99932, 0.05
2008hu, 122.311501, -18.653641, 0.04981, 0.05071, nan, nan, PanPlus, 36.7508, 0.1259, 0.00166145, 9.50343e-05, -1.71718, 0.0572005, 54806.77, 0.133, -0.0176501, 0.0268486, -0.07, nan, 11.5312, 0.2
2008C, 104.298042, 20.43714, 0.01662, 0.01709, nan, nan, PanPlus, 34.3076, 0.1612, 0.0124163, 0.000602188, -0.723618, 0.073122, 54467.953, 0.164, 0.11843, 0.025165, 0.11, nan, 10.0322, 0.0
2006ef, 31.081289, -8.72839, 0.01781, 0.01694, nan, nan, PanPlus, 34.3825, 0.1641, 0.0147743, 0.000461968, -1.48013, 0.0666692, 53970.711, 0.218, -0.0345742, 0.0265521, -0.02, nan, 7.8489, 0.48
2005al, 207.501373, -30.57617, 0.01538, 0.01629, nan, nan, PanPlus, 34.0624, 0.1663, 0.0256994, 0.000701751, -1.25871, 0.0290555, 53431.121, 0.086, -0.120037, 0.0110091, -0.01, nan, 10.2599, 0.01
2005ku, 344.927521, -0.01373, 0.04525, 0.04397, nan, nan, PanPlus, 36.3724, 0.1295, 0.00213735, 7.36127e-05, -0.179115, 0.14633, 53699.469, 0.223, 0.0876054, 0.0243281, 0.27, nan, 9.64568, 0.61
2008gl, 20.22842, 4.80531, 0.03354, 0.03246, nan, nan, PanPlus, 35.6937, 0.1325, 0.00438041, 0.000105646, -1.38276, 0.0355668, 54768.691, 0.059, -0.00250006, 0.0222641, 0.46, nan, 11.1311, 0.02
