# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- NUM TARGETS: 1513
# Avg. 'c': -0.008497671095836087 +/- 0.037995761070720425
# Avg. 'x1': -0.08243076693919366 +/- 0.2914902035029742
# Avg. 'x0': 0.008616161355039656 +/- 0.00036897059947937867
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
SCP05D6, 35.443684, -3.382272, 1.31500, 1.31311, nan, nan, PanPlus, 44.9099, 0.2281, 1.20084e-06, 5.70393e-08, -4.57049e-01, 0.57756, 53658.816, 1.328, -6.93690e-02, 0.0655324, -0.04, nan, 10, 0.1
2005ki, 160.117584, 9.202330, 0.01946, 0.02066, nan, nan, PanPlus, 34.6114, 0.1563, 1.35839e-02, 0.000465443, -1.29353e+00, 0.11113, 53705.375, 0.088, -5.73643e-02, 0.0297536, 0.32, nan, 11.06050, 0.002
2007bd, 127.888672, -1.199440, 0.03044, 0.03141, nan, nan, PanPlus, 35.6245, 0.1483, 5.26865e-03, 0.00020157, -1.10681e+00, 0.22538, 54206.789, 0.229, -3.66911e-02, 0.0329053, 0.14, nan, 10.43440, 0.002
2007fb, 359.218201, 5.508830, 0.01803, 0.01680, nan, nan, PanPlus, 34.4657, 0.1604, 1.25539e-02, 0.000473263, -1.55083e+00, 0.0725409, 54287.590, 0.021, -3.75559e-03, 0.0248423, 0.39, nan, 9.62870, 0.003
2007F, 195.812836, 50.618809, 0.02362, 0.02420, nan, nan, PanPlus, 35.0655, 0.144, 9.47386e-03, 0.000270953, 0.40495, 0.10931, 54123.875, 0.079, 2.77590e-03, 0.0262329, -0.03, nan, 9.63941, 0.003
2007kk, 55.596920, 39.241779, 0.04178, 0.04130, nan, nan, PanPlus, 36.2908, 0.1401, 3.53158e-03, 0.000406526, 0.95307, 0.21588, 54383.688, 0.308, -2.05358e-03, 0.0388257, 0.26, nan, 10.88910, 0.002
2008dh, 8.797170, 23.254190, 0.03680, 0.03565, nan, nan, PanPlus, 36.2230, 0.1314, 3.90119e-03, 0.000163219, 0.11878, 0.12691, 54627.551, 0.61, -8.99910e-02, 0.014815, 2.18, nan, 9.37320, 0.005
2008eg, 27.901119, 19.104691, 0.03365, 0.03268, nan, nan, PanPlus, 35.9607, 0.1473, 5.47214e-03, 0.000314641, -7.72821e-01, 0.14886, 54666.430, 0.498, -1.85916e-01, 0.0363343, 0.44, nan, 10.67270, 0.002
2008eo, 10.466830, 32.990330, 0.01643, 0.01539, nan, nan, PanPlus, 34.4140, 0.1681, 1.75737e-02, 0.000828858, 1.07262, 0.087574, 54687.582, 0.221, 3.02695e-02, 0.0222762, 3.69, nan, 9.01416, 0.009
2008eq, 255.029999, 23.132389, 0.05680, 0.05680, nan, nan, PanPlus, 37.0989, 0.136, 1.14038e-03, 5.53579e-05, 0.50201, 0.24292, 54690.102, 0.24, 0.12842, 0.0330841, 0.26, nan, 10.18090, 0.004
