# Created by M.D. Woods -- 2024-12-18 10:43:39.545308 -- NUM TARGETS: 304
# Avg. 'c': -0.004389964154605264 +/- 0.034337753815789476
# Avg. 'x0': 0.003279092799342105 +/- 0.00010683052467105264
# Avg. 'x1': -0.11439973888157896 +/- 0.24672374506578948
objname, ra, dec, z, z_cmb, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, hostMass, hostMass_err
2019pff, 251.457667, 45.086311, 0.05965, 0.05964, ATLAS_NORM, 37.26126, 0.11801, 1.63318e-03, 6.56863e-05, 0.83082, 0.3019, 58742.8438, 0.2231, -7.23384e-02, 0.02972, 10.032562459600875, 0.0034929234100036207
2019sla, 122.1199006, 1.4739389, 0.06276, 0.06367, ATLAS_NORM, 37.37119, 0.12725, 1.05048e-03, 4.43981e-05, -2.18615e+00, 0.23568, 58777.9414, 0.0239, -9.64535e-02, 0.0368048, 10.190152663303401, 0.0027626919796011344
2019vdg, 95.8830948768, 50.3999618559, 0.03698, 0.03711, ATLAS_NORM, 36.12278, 0.11592, 3.77904e-03, 0.000141958, 0.11222, 0.16703, 58819.4922, 0.1163, -2.48426e-02, 0.0237174, 10.50774711670256, 0.0014205132657044933
2019vnk, 60.1814571894, -9.00047911238, 0.06332, 0.06295, ATLAS_NORM, 37.31654, 0.12343, 1.22213e-03, 9.63721e-05, 0.35248, 0.31199, 58820.7344, 0.2481, 4.42458e-04, 0.0563535, 9.60403194909799, 0.007496436228197195
2019vpz, 19.639125, -0.228239, 0.04725, 0.04615, ATLAS_NORM, 36.32800, 0.1175, 1.87979e-03, 0.000107102, -6.22262e-01, 0.25117, 58826.2227, 0.2147, 0.14580, 0.0390766, 10.496995945424228, 0.0017043022517981964
2019wfc, 159.062083, 52.947419, 0.04654, 0.04718, ATLAS_NORM, 37.29601, 0.26772, 1.16543e-03, 0.000358519, -4.06294e-01, 0.24598, 58835.2461, 0.2512, -1.35258e-02, 0.21771, 9.55498910217857, 0.004114912595870481
2019wmx, 42.696083, 33.512589, 0.03998, 0.03928, ATLAS_NORM, 36.24204, 0.11324, 4.67809e-03, 0.000127732, 0.70866, 0.12056, 58842.1523, 0.1097, -1.26036e-01, 0.016314, 10.506486596766512, 0.0015985210642747198
2019wqd, 218.2942912, 6.0635603, 0.05522, 0.05603, ATLAS_NORM, 37.00479, 0.12144, 1.92394e-03, 9.69581e-05, 0.62551, 0.26981, 58843.5781, 0.5207, -5.36051e-02, 0.0355411, 9.662762419829395, 0.005981541817344014
2019wzy, 29.9178682, 5.9819679, 0.07501, 0.07402, ATLAS_NORM, 37.74430, 0.12961, 1.08587e-03, 3.79962e-05, 1.32513, 0.28914, 58848.6211, 0.2832, -6.05394e-02, 0.033814, 9.334523913815252, 0.013773568550549772
2019xfx, 36.054917, -10.504261, 0.05594, 0.05512, ATLAS_NORM, 37.06288, 0.12051, 1.87355e-03, 7.83748e-05, -1.14983e+00, 0.21501, 58849.0352, 0.0425, -1.61763e-01, 0.0347873, 10.339361497372266, 0.0028361892433288083
