# Created by M.D. Woods -- 2024-12-13 12:46:37.127385 -- HUBBLE RESID STD: 0.18085991177428387
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 3.2), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.01044533231640625 +/- 0.02987041234375
# Avg. 'x1': -0.029012013945312505 +/- 0.2419791515625
objname, ra, dec, z, z_cmb, origin, mu, mu_err, x1, x1_err, t0, t0_err, c, c_err, hostMass, hostMass_err
2020buy, 196.043619928, -4.53443620916, 0.09037, 0.09156, ATLAS_NORM, 38.22848, 0.1606, 0.78248, 0.45058, 58887.043, 0.2318, -0.118866, 0.0555737, 8.983832493108123, 0.03439593617416904
2020cli, 247.986216708, 14.0442381041, 0.05351, 0.05369, ATLAS_NORM, 36.94756, 0.12347, -0.439749, 0.23803, 58902.2148, 0.1152, -0.0308738, 0.0269734, 10.021337950396738, 0.0031164532008992295
2020cot, 158.898527022, 22.6406374755, 0.09815, 0.09932, ATLAS_NORM, 38.4455, 0.15675, 0.40733, 0.50671, 58902.0508, 0.5051, -0.0686994, 0.0375204, 10.571233687867135, 0.0038727995706029144
2020cpn, 107.880367149, 58.9515789126, 0.08016, 0.08036, ATLAS_NORM, 37.76938, 0.14963, 0.31142, 0.48722, 58901.957, 0.3813, -0.0189596, 0.0349222, 11.12427700223662, 0.003031336655228269
2020cvn, 108.405, 42.781181, 0.04736, 0.04773, ATLAS_NORM, 36.72465, 0.12221, 0.75406, 0.24405, 58912.5469, 0.2908, 0.0484785, 0.0266337, 10.50317472464623, 0.0023713934451536746
2020cvw, 119.482958, 30.026939, 0.05103, 0.0517, ATLAS_NORM, 36.86097, 0.12182, -0.0966466, 0.26311, 58911.2539, 0.1863, -0.00105831, 0.0286076, 9.924841708479672, 0.003142656617920473
2020cxx, 48.08175, 41.28225, 0.0309, 0.03033, ATLAS_NORM, 35.37708, 0.13163, 0.85846, 0.25594, 58916.3047, 0.1988, -0.0127907, 0.0308655, 9.256105310132012, 0.004311917571359003
2020ddk, 93.2479958, 48.1585003, 0.08057, 0.08069, ATLAS_NORM, 37.7061, 0.16042, -0.993533, 0.59959, 58907.9688, 0.5012, -0.0610434, 0.0518491, 9.972594489831357, 0.008174082279800121
2020dhj, 223.37659252, 17.2891396457, 0.04417, 0.04482, ATLAS_NORM, 36.40614, 0.11517, 0.00285796, 0.14474, 58919.1289, 0.07, -0.0959402, 0.0227448, 9.877067607420221, 0.0017293554591827245
2020dxr, 176.106189182, 53.5715556249, 0.05525, 0.05588, ATLAS_NORM, 36.7407, 0.13363, -0.982768, 0.21485, 58925.7617, 0.2156, 0.0644181, 0.0394854, 10.015913559131583, 0.004508601657165764
2020eci, 230.812067754, 0.0649405664894, 0.07092, 0.07151, ATLAS_NORM, 37.68762, 0.14293, 0.14235, 0.37987, 58919.8047, 0.2964, -0.232279, 0.0493029, 10.779046268332815, 0.003316401940561933
2020ees, 201.813292, 32.033619, 0.02438, 0.02518, ATLAS_NORM, 35.41902, 0.12881, 0.69942, 0.0892629, 58927.8633, 0.102, -0.0103108, 0.0195405, 10.782332728916026, 0.0006157907316533342
2020fxa, 233.637667, 37.533831, 0.06423, 0.06456, ATLAS_NORM, 37.25277, 0.10967, 0.83494, 0.14948, 58958.5586, 0.1318, -0.0571446, 0.0143492, 10.019235170193774, 0.003999005600585814
2020jdo, 273.931854801, 58.2152610216, 0.07251, 0.07219, ATLAS_NORM, 37.42101, 0.12381, -2.79368, 0.23872, 58982.9531, 0.228, 0.0834977, 0.034809, 11.08699861783203, 0.0017713200135546785
2020jee, 175.56125, 20.097519, 0.01982, 0.02093, ATLAS_NORM, 34.75433, 0.14268, -1.38958, 0.0802445, 58985.7227, 0.0688, -0.106282, 0.0138427, 10.074802222018619, 0.0027624682618008407
2020jge, 273.685434664, 43.4561430773, 0.06281, 0.06244, ATLAS_NORM, 37.36771, 0.11236, 0.29984, 0.18413, 58987.1797, 0.1916, -0.0409095, 0.0231322, 9.166614951346455, 0.010926626396171967
2020jhf, 198.722667, 27.008639, 0.01545, 0.01633, ATLAS_NORM, 34.14241, 0.15451, -0.829431, 0.0461537, 58991.9766, 0.0649, 0.12125, 0.00995536, 9.783074102454828, 0.002059462277715623
2020jjf, 233.784425502, 23.9455693262, 0.06427, 0.06469, ATLAS_NORM, 37.42607, 0.11856, 0.1116, 0.22736, 58988.25, 0.2134, 0.0273985, 0.0250868, 9.815828579922087, 0.005649563995698816
2020jjh, 248.07225, 50.190539, 0.04737, 0.04739, ATLAS_NORM, 36.58234, 0.11031, 0.61538, 0.0991391, 58993.2578, 0.0547, 0.0931059, 0.0112212, 10.880364432794659, 0.0010400038336614418
2020jol, 156.838125, 0.422169, 0.02169, 0.02293, ATLAS_NORM, 35.25457, 0.1325, 1.2872, 0.16959, 58990.8594, 0.1322, 0.11675, 0.0170335, 8.691914099432484, 0.004274261428041078
2020jwl, 274.6636645, 19.18990895, 0.05798, 0.05757, ATLAS_NORM, 36.95565, 0.12023, 0.0945924, 0.19751, 58992.2891, 0.1512, -0.0221686, 0.0250285, 10.60347758826544, 0.0028194207722927176
2020kbw, 231.493812695, 46.3123614003, 0.07631, 0.0766, ATLAS_NORM, 38.05076, 0.13334, 0.22425, 0.33699, 58996.9531, 0.2943, 0.0498242, 0.0392164, 8.360931819824643, 0.035951493125265056
2020kkc, 218.846068622, -13.6540849921, 0.07008, 0.07092, ATLAS_NORM, 37.38295, 0.11781, 0.0494167, 0.22756, 58998.6641, 0.1897, 0.0703696, 0.0318029, 8.87823637634624, 0.024718661923091658
2020kku, 263.14051208, 15.7358797031, 0.0847, 0.08454, ATLAS_NORM, 37.48216, 0.14059, -2.02908, 0.36112, 58995.8281, 0.3107, 0.12737, 0.0389341, 10.77194966700116, 0.0028812496237636772
2020krw, 225.691288175, 58.5348085875, 0.07572, 0.07595, ATLAS_NORM, 37.74876, 0.13167, -1.47585, 0.29283, 58998.9453, 0.253, 0.0817743, 0.0351286, 9.278923240583163, 0.016494713717073305
2020kui, 200.363804707, 48.441108682, 0.09673, 0.09736, ATLAS_NORM, 38.423, 0.12952, 0.38037, 0.30105, 59003.9102, 0.149, -0.134184, 0.0314001, 8.68220519526554, 0.03676228230935158
2020kyx, 243.439625, 22.920661, 0.03192, 0.03215, ATLAS_NORM, 35.39122, 0.11782, -0.614384, 0.0761448, 59008.6172, 0.075, 0.0230481, 0.0144587, 10.779951035384471, 0.0008053591044990442
2020lil, 219.498583, 9.388539, 0.03071, 0.03147, ATLAS_NORM, 35.84005, 0.11829, -1.45531, 0.0887715, 59011.9492, 0.0567, 0.0449721, 0.0137898, 9.614046330978578, 0.002777853739202023
