        SN      st    e_st     zhelio       zcmb         Tmax   eTmax     Bmax   e_Bmax     Vmax   e_Vmax      umax   e_umax     gmax   e_gmax     rmax   e_rmax      imax   e_imax      Ymax   e_Ymax      Jmax   e_Jmax      Hmax   e_Hmax   EBVhost   e_EBVhost      Rv    e_Rv   C(Rv)(EBVhost)    c0   c1   c2   c3   c4   c5
  SN2007ol   0.696   0.035    0.05587   0.054882     54412.86    0.19   18.045    0.016   18.115    0.023    18.552    0.033   17.963     0.02   18.183    0.031   999.999    9.999   999.999    9.999   999.999    9.999   999.999    9.999     0.008        0.01   2.371   1.687         -0.00023     0    0    0    0    0    0
  SN2007on   0.574   0.004    0.00649   0.006183     54419.78    0.50   13.029    0.006   12.915    0.006    13.615    0.011   12.921    0.008   12.969    0.007    13.353    0.018    13.258    0.011    13.101    0.016    13.265    0.015     0.004       0.005    2.23   1.647         -0.00089     1    1    1    1    1    1
  SN2007so    0.85   0.008   0.029667   0.028929     54428.02    0.52    16.38    0.042   16.376    0.026    16.622    0.135     16.3    0.035   16.431    0.023     16.75    0.031     16.56    0.031    15.839    0.104    16.507    0.078     0.147       0.024   5.212   1.133         -0.02296     0    0    0    0    0    0
  SN2007sr   0.989   0.017   0.005473   0.006656     54448.51    0.53   12.753    0.046   12.606    0.034    13.362     0.07   12.653    0.025   12.644    0.024     13.25    0.056    13.327    0.051    13.086    0.066    13.425    0.028      0.21       0.027    1.11   0.432         -0.00794     0    0    0    0    0    0
  SN2007st   0.774   0.022   0.021167   0.020651     54454.45    0.70   15.798    0.062   15.668     0.05    16.287    0.096   15.724    0.039   15.688    0.037    16.085    0.068    15.936    0.065    15.598    0.127    16.178     0.08     0.168       0.027   2.178    0.63         -0.01074     0    0    0    0    0    0
  SN2007ux   0.586   0.006   0.030893   0.031996     54466.93    0.07   17.404    0.007   17.195    0.006    18.167    0.024   17.254    0.007   17.244    0.006    17.618     0.01    17.554    0.024    17.403    0.022    17.602    0.029     0.105       0.015    0.95   0.613         -0.00483     0    0    0    0    0    0
   SN2008C   0.953   0.025    0.01661   0.017067     54465.87    0.37   15.645    0.061    15.47    0.045    16.225    0.107   15.525    0.037   15.456    0.035    15.934    0.071    15.869    0.048    15.714      0.1    16.011    0.059      0.26       0.034   1.832   0.501         -0.01215     1    1    1    1    1    1
   SN2008O   0.654   0.012    0.03883   0.039318     54491.75    0.58   18.144    0.013   17.828    0.011    19.288    0.056   17.973     0.01   17.709     0.01    18.084     0.02    17.944     0.03    17.846    0.041    17.986    0.073     0.327       0.023   1.121   0.288         -0.00429     0    0    0    0    0    0
   SN2008R   0.593   0.005   0.013493   0.012887     54494.64    0.51   15.262    0.005    15.14    0.006    15.833    0.014   15.138    0.006   15.156    0.007    15.569    0.012    15.519    0.056    15.347    0.076    15.595    0.052     0.031       0.016   1.239   1.504         -0.01083     1    1    1    1    1    1
  SN2008ar   0.971   0.006    0.02613   0.027247     54534.61    0.12   16.233    0.009   16.205    0.007    16.742    0.021   16.185    0.008   16.244    0.008    16.854    0.011    16.895     0.02     16.82    0.028    16.888     0.06     0.125       0.013   1.377   0.498         -0.00322     0    0    0    0    0    0
  SN2008bc   1.048   0.004   0.015077   0.015707     54549.57    0.03   14.749    0.003   14.778    0.004    15.148    0.006   14.716    0.004   14.902    0.004    15.585    0.007    15.686    0.011    15.533    0.014    15.775    0.019     0.033       0.024   1.799   1.574         -0.01612     1    1    1    1    1    1
  SN2008bd   0.415   0.011   0.030083    0.03128     54531.21    0.48   18.071    0.055   17.493    0.038   999.999    9.999    17.68    0.068    17.63    0.055    17.768    0.077     17.63    0.043    16.766     0.14    17.429    0.143     0.064       0.028   2.047   0.854         -0.00512     0    0    0    0    0    0
  SN2008bf   1.022   0.004   0.023484   0.024554     54554.65    0.03   15.711    0.004   15.744    0.004    16.054    0.009   15.669    0.004   15.882    0.005     16.51    0.007    16.607    0.013    16.414    0.012    16.895    0.044     0.047       0.012   0.114   1.135         -0.00536     0    0    0    0    0    0
  SN2008bi    0.48   0.026   0.013437   0.014388     54543.28    0.90   16.947    0.108   16.426    0.071    18.138    0.178   16.583    0.077   16.439    0.056    16.496    0.086    16.296    0.051    15.479     0.13    16.221    0.074     0.249       0.048   2.322   0.692         -0.02121     0    0    0    0    0    0
  SN2008bq   1.155   0.009   0.033977   0.034443     54562.46    0.53   16.725    0.005    16.67    0.005    17.312    0.012   16.645    0.005   16.706    0.006    17.318    0.009    17.234    0.064     17.07    0.103    17.376    0.129     0.173       0.021   2.616   0.758         -0.01121     1    1    1    1    1    1
  SN2008bt    0.47   0.009   0.015353    0.01658     54572.30    0.14   16.753     0.01   16.254    0.008     17.82    0.031   16.469    0.008   16.164    0.009     16.43    0.015    16.383    0.051     16.07    0.149    16.409     0.24     0.202       0.021   0.791   0.495         -0.00393     0    0    0    0    0    0
  SN2008bz    0.93   0.022   0.060237   0.061326     54578.93    0.25   17.944     0.05   17.982    0.038    18.362    0.083   17.916    0.028   18.135    0.028    18.758    0.063    18.728    0.052    18.711    0.111   999.999    9.999     0.026       0.019   2.275   1.718          -0.0024     0    0    0    0    0    0
  SN2008cc   0.788   0.017   0.010387   0.010122     54572.99    0.19   14.169    0.052   14.087    0.038    14.754    0.079   14.104    0.011   14.149    0.027    14.671    0.056    14.495     0.02    14.214    0.047    14.496    0.027     0.128       0.022   2.471   0.648         -0.00959     0    0    0    0    0    0
  SN2008cd   1.012    0.08   0.007407   0.008462     54578.89    1.09   18.836    0.113   17.152    0.068   999.999    9.999   17.896    0.064   16.334    0.052    16.011    0.097   999.999    9.999   999.999    9.999   999.999    9.999     1.927       0.076   2.247   0.378         -0.01816     0    0    0    0    0    0
  SN2008cf   1.117   0.035   0.045968   0.046827     54594.67    0.68   17.064     0.05   17.058    0.039    17.289    0.082   17.004     0.03   17.241     0.03    17.937    0.067    18.229    0.068    17.997    0.183    18.078    0.071     0.033       0.021   1.897   1.497         -0.01059     0    0    0    0    0    0
  SN2008ff   1.117    0.01   0.019193   0.018673     54704.22    0.17   15.355    0.014   15.232    0.009    15.746    0.032   15.274    0.011   15.349     0.01    16.003    0.021    16.111    0.018     16.09    0.039    16.281     0.02     0.179       0.017   0.716    0.32         -0.00268     0    0    0    0    0    0
