#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
02a59622o0087o,45.8799816666667,27.6821929166667,>19.621264717138935,0.0,1.13,o,22.118,59622.25114095,3071.4,134.82,182.0,177.5,19.8,17.5,177.3,1052.3,976.2,0.97,2.1,1.78,1.0,3.0,-0.4597,19.44747547980653,17.188425297808802,19.11,30.0
02a59622o0104o,45.8799816666667,27.6821929166667,>19.84,0.0,3.0,o,22.12,59622.25897165,10379.6,10455.2,227.0,195.9,1.5,21.5,207.8,2710.3,1394.8,0.99,2.13,1.79,1.0,3.0,-0.4577,1.4972097228618106,21.46000602768595,19.06,30.0
01a59623o0045o,45.8799816666667,27.6821929166667,>19.47,0.0,3.0,o,22.2,59623.22183075,8634.64,6372.2,187.0,182.8,-18.8,17.5,184.3,1911.9,1223.7,1.31,2.76,2.56,1.0,3.0,-0.4907,-33.30164155385979,30.998868467688638,18.73,30.0
01a59623o0051o,45.8799816666667,27.6821929166667,>19.51,0.0,3.0,o,22.203,59623.22468175,8655.93,6410.92,203.0,180.6,7.4,16.2,183.6,1792.5,1020.1,1.17,2.84,2.59,1.0,3.0,-0.4837,13.520992414352726,29.60001042061002,18.75,30.0
01a59623o0065o,45.8799816666667,27.6821929166667,>19.69,0.0,3.0,o,22.203,59623.23116945,8597.47,6336.92,172.0,182.5,1.3,14.2,180.6,2096.6,1158.6,1.17,2.79,2.56,1.0,3.0,-0.4927,2.325660229445866,25.403365583177916,18.79,30.0
01a59623o0107o,45.8799816666667,27.6821929166667,>19.58,0.0,3.0,o,22.197,59623.25066335,8585.81,6457.9,209.0,180.7,2.6,14.4,179.7,-375.5,1147.0,1.19,2.91,2.65,1.0,3.0,-0.4807,4.994257795523648,27.66050471366944,18.79,30.0
02a59623o0126o,45.8799816666667,27.6821929166667,>20.04,0.0,3.0,o,22.116,59623.26015065,3007.89,211.0,279.0,181.6,13.8,17.1,180.5,549.2,922.7,1.25,2.2,1.8,1.0,3.0,-0.4587,14.372523175318237,17.809430891155206,19.04,30.0
02a59623o0138o,45.8799816666667,27.6821929166667,>20.01,0.0,3.0,o,22.114,59623.26585735,2987.53,170.4,179.0,180.7,5.8,16.7,176.1,-2609.0,900.5,1.22,2.18,1.9,1.0,3.0,-0.4437,6.2430502908359635,17.975679285682858,19.01,30.0
02a59623o0150o,45.8799816666667,27.6821929166667,>19.97,0.0,3.0,o,22.111,59623.27152885,3047.78,249.94,147.0,185.8,4.6,16.2,182.3,1005.1,1010.7,1.21,2.3,1.92,1.0,3.0,-0.4457,5.303293240558624,18.676815325445588,18.99,30.0
02a59623o0165o,45.8799816666667,27.6821929166667,>19.86,0.0,3.0,o,22.108,59623.27865565,3068.01,130.28,183.0,177.7,15.4,17.0,171.1,894.6,918.5,0.95,2.34,2.0,1.0,3.0,-0.4377,18.729462718374,20.67538092288039,18.95,30.0
